index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;;;;;;;
;POTATOES_0101;Potato intake [g/d];decimal;;;;;;;
;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;;;;;;;
;VEGETABLES_02;Vegetable intake [g/d];decimal;;;;;;;
;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;;;;;;;
;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;;;;;;;
;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;;;;;;;
;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;;;;;;;
;MUSHROOMS_0205;Mushroom intake [g/d];decimal;;;;;;;
;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;;;;;;;
;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;;;;;;;
;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;;;;;;;
;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;;;;;;;
;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;;;;;;;
;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;;;;;;;
;FRUITS_TOT_04;Total fruit intake [g/d];decimal;;;;;;;
;FRUITS_0401;Intake of fresh fruits [g/d];decimal;;;;;;;
;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;;;;;;;
;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;;;;;;;
;OLIVES_0404;Intake of olives [g/d];decimal;;;;;;;
;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;;;;;;;
;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;;;;;;;
;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;;;;;;;
;YOGURT_0503;Intake of fermented milk products [g/d];decimal;;;;;;;
;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;;;;;;;
;CHEESE_0505;Intake of cheese [g/d];decimal;;;;;;;
;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal;;;;;;;
;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal;;;;;;;
;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal;;;;;;;
;NONDAIRYCREAM_050702;Intake of imitation cream, non-dairy coffee creamers and dairy imitates other than milk [g/d];decimal;;;;;;;
;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;;;;;;;
;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;;;;;;;
;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;;;;;;;
;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;;;;;;;
;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;;;;;;;
;BREAD_060301;Intake of bread [g/d];decimal;;;;;;;
;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;;;;;;;
;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;;;;;;;
;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;;;;;;;
;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;;;;;;;
;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;;;;;;;
;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;;;;;;;
;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;;;;;;;
;VEAL_070102;Intake of calf fresh meat [g/d];decimal;;;;;;;
;PORK_070103;Intake of pig fresh meat [g/d];decimal;;;;;;;
;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;;;;;;;
;HORSE_070105;Intake of horse meat [g/d];decimal;;;;;;;
;GOAT_070106;Intake of goat meat [g/d];decimal;;;;;;;
;POULTRY_0702;Intake of poultry meat [g/d];decimal;;;;;;;
;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;;;;;;;
;CHICKEN_070201;Intake of chicken meat [g/d];decimal;;;;;;;
;TURKEY_070202;Intake of turkey meat [g/d];decimal;;;;;;;
;DUCK_070203;Intake of duck meat [g/d];decimal;;;;;;;
;GOOSE_070204;Intake of goose meat [g/d];decimal;;;;;;;
