index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;GHS_P1;"qu_nutr_potato_c;qu_nutr_fries_c";operation;qu_nutr_potato_c + qu_nutr_fries_c;only frequency;partial;tentative
;POTATOES_0101;Potato intake [g/d];decimal;GHS_P1;"qu_nutr_potato_c;qu_nutr_fries_c";operation;qu_nutr_potato_c + qu_nutr_fries_c;only frequency;partial;tentative
;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;VEGETABLES_02;Vegetable intake [g/d];decimal;GHS_P1;"qu_nutr_salad_c;qu_nutr_veggie_c";operation;qu_nutr_salad_c + qu_nutr_veggie_c;only frequency;partial;tentative
;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MUSHROOMS_0205;Mushroom intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;GHS_P1;qu_nutr_salad_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;GHS_P1;qu_nutr_pulse_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;FRUITS_TOT_04;Total fruit intake [g/d];decimal;GHS_P1;"qu_nutr_fruit_c;qu_nutr_nuts_c";operation;qu_nutr_fruit_c + qu_nutr_nuts_c;only frequency;partial;tentative
;FRUITS_0401;Intake of fresh fruits [g/d];decimal;GHS_P1;qu_nutr_fruit_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;GHS_P1;qu_nutr_nuts_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;OLIVES_0404;Intake of olives [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;GHS_P1;"qu_nutr_cheese_c;qu_nutr_cream_c;qu_nutr_normalfatmilk_c;qu_nutr_lowfatmilk_c;qu_nutr_buttermilk_c";operation;qu_nutr_cheese_c + qu_nutr_cream_c + qu_nutr_normalfatmilk_c + qu_nutr_lowfatmilk_c + qu_nutr_buttermilk_c;only frequency;partial;tentative
;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;GHS_P1;qu_nutr_buttermilk_c;operation;qu_nutr_buttermilk_c + weighting?;"Milk, including buttermilk; only frequency";partial;tentative
;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;GHS_P1;qu_nutr_buttermilk_c;operation;qu_nutr_buttermilk_c + weighting?;"Milk, including buttermilk; only frequency";partial;tentative
;YOGURT_0503;Intake of fermented milk products [g/d];decimal;GHS_P1;"qu_nutr_normalfatmilk_c; qu_nutr_lowfatmilk_c";operation;qu_nutr_normalfatmilk_c + qu_nutr_lowfatmilk_c;Can we apply weighting to reflect proportions of yogurt with different fat content?;partial;tentative
;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;GHS_P1;"qu_nutr_normalfatmilk_c;qu_nutr_lowfatmilk_c";operation;qu_nutr_normalfatmilk_c + qu_nutr_lowfatmilk_c;Can we apply weighting to reflect proportions of yogurt with different fat content?;partial;tentative
;CHEESE_0505;Intake of cheese [g/d];decimal;GHS_P1;qu_nutr_cheese_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal;GHS_P1;qu_nutr_cream_c;direct_mapping;;only frequency;partial;tentative
;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;NONDAIRYCREAM_050702;Intake of imitation cream, non-dairy coffee creamers and dairy imitates other than milk [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
