index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;IDEFICS_P1;D19;direct_mapping;direct_mapping;"SACANA FGS D19 ""Potatoes and other starchy vegetables""";complete;identical
;POTATOES_0101;Potato intake [g/d];decimal;IDEFICS_P1;"D19a; D19b;L47";operation;D19a + D19b + (weighting*L47);"SACANA FGS D19a "" Potatoes cooked (not deep fried) "" + SACANA FGS 19b "" Potatoes cooked (deep fried) "" + (Gewichtung* SACANA FGS L47 ""Based on potatoes"")";complete;compatible
;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;VEGETABLES_02;Vegetable intake [g/d];decimal;IDEFICS_P1;D18;direct_mapping;direct_mapping;SACANA FGS D18 vegetables n.s.;complete;identical
;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;MUSHROOMS_0205;Mushroom intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;IDEFICS_P1;L44c;direct_mapping;direct_mapping;"SACANA FGS L44c ""Mixed salad""";complete;identical
