index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;;Kart_sum_NCI;direct_mapping;direct_mapping;in this case, this combined group only consists of potatoes and no other tubers;partial;tentative
;POTATOES_0101;Potato intake [g/d];decimal;;Kart_sum_NCI;direct_mapping;direct_mapping;;complete;identical
;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;VEGETABLES_02;Vegetable intake [g/d];decimal;;Gem02_1;direct_mapping;direct_mapping;;complete;identical
;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;MUSHROOMS_0205;Mushroom intake [g/d];decimal;;Gem02_2;direct_mapping;direct_mapping;;complete;identical
;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;;Gem02_Hu;direct_mapping;direct_mapping;;complete;identical
;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;FRUITS_TOT_04;Total fruit intake [g/d];decimal;;Obst_sum;direct_mapping;direct_mapping;;complete;identical
;FRUITS_0401;Intake of fresh fruits [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;;Nusa_sum;direct_mapping;direct_mapping;;complete;identical
;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;OLIVES_0404;Intake of olives [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;;Milc_sum;direct_mapping;direct_mapping;;complete;identical
;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;;Milc07_1;operation;tba;Would it be possible to calculate % of milk intake from the group Milc07_1? ;complete;identical
;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;;impossible;impossible;impossible;"Zu geringe Anzahl an Konsumenten für Berechnung via NCI-Methode (Recall1: n=2; Recall2: n=3) ";impossible;unavailable
;YOGURT_0503;Intake of fermented milk products [g/d];decimal;;Fermented_milk_NCI;direct_mapping;direct_mapping;;complete;identical
;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;;Milc07_2;operation;tba;Would it be possible to calculate % of cheese curd, quark and cottage intake from the group Milc07_2?;complete;identical
;CHEESE_0505;Intake of cheese [g/d];decimal;;Milc07_2;operation;tba;Would it be possible to calculate % of cheese intake from the group Milc07_2?;complete;identical
;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal;;Sues13_6;direct_mapping;direct_mapping;;complete;identical
;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;NONDAIRYCREAM_050702;Intake of imitation cream, non-dairy coffee creamers and dairy imitates other than milk [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;;Brot_sum;direct_mapping;direct_mapping;;complete;identical
;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;;Flours_milled_prod_NCI;direct_mapping;direct_mapping;;complete;identical
;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;;Pasta_rice_NCI;direct_mapping;direct_mapping;;complete;identical
;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;;Brot01_1;direct_mapping;direct_mapping;;complete;identical
;BREAD_060301;Intake of bread [g/d];decimal;;Bread_NCI;direct_mapping;direct_mapping;;complete;identical
;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;;Crispbread_NCI;direct_mapping;direct_mapping;;complete;identical
;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;;Breakfast_cereals_NCI;direct_mapping;direct_mapping;;complete;identical
;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;;Crackers_NCI;direct_mapping;direct_mapping;;complete;identical
;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;;Fine_bakery_NCI;direct_mapping;direct_mapping;;complete;identical
;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;;Flei_sum;direct_mapping;direct_mapping;;complete;identical
