index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;POTATOES_0101;Potato intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;VEGETABLES_02;Vegetable intake [g/d];decimal;;a_ui_m02;direct_mapping;direct_mapping;;complete;identical
;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MUSHROOMS_0205;Mushroom intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;;a_ui_m03;direct_mapping;direct_mapping;;complete;identical
;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FRUITS_TOT_04;Total fruit intake [g/d];decimal;;a_ui_f0401;direct_mapping;direct_mapping;;complete;identical
;FRUITS_0401;Intake of fresh fruits [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;OLIVES_0404;Intake of olives [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;YOGURT_0503;Intake of fermented milk products [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CHEESE_0505;Intake of cheese [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
