index;name;label;valueType
;KL_TG;Triglycerides;decimal
;KL_CHO;Total Cholesterol;decimal
;KL_LDLC;LDL-Cholesterol;decimal
;KL_HDLC;HDL-Cholesterol;decimal
;BMI;Body Mass Index (BMI);decimal
;TU;Taillenumfang;decimal
;FG_Prozent;Gewebe%Fett – Gesamt in %;decimal
;FMI;Fat Mass Index;decimal
;Alter_BE;Age at blood sampling;decimal
;kcal_zb_tag_NCI;Energy – incl. energy from dietary fiber;decimal
;kh_tag_NCI;Carbohydrates;decimal
;prot_tag_NCI;Protein;decimal
;ft_tag_NCI;Fat;decimal
;al_tag_NCI;Alcohol;decimal
;bs_tag_NCI;Dietary Fiber;decimal
;fsges_tag_NCI;Saturated Fat;decimal
;fseuges_tag_NCI;Monounsaturated Fat;decimal
;fsmuges_tag_NCI;Polyunsaturated Fat;decimal
;sugars_NCI;Sugars_NCI;decimal
;KMT_tag_NCI;Glucose;decimal
;KMF_tag_NCI;Fructose;decimal
;na_tag_NCI;Sodium;decimal
;k_tag_NCI;Potassium;decimal
