index;name;label;valueType
;sa_trig;Triglyceride (trig): Messwert (mmol/l);decimal
;sa_chol;Cholesterin, gesamt (chol): Messwert (mmol/l);decimal
;sa_ldlc;LDL-Cholesterin (ldlc): Messwert (mmol/l);decimal
;sa_hdlc;HDL-Cholesterin (hdlc): Messwert (mmol/l);decimal
;a_anthro_bmi;BMI (aus bereinigten Messwerten);decimal
;anthro_bmi;BMI_follow up (at U2);decimal
;"anthro_taillenumfang

";Taillenumfang (cm);decimal
;"anthro_taillenumfang_fup

";Taillenumfang_follow up(cm);decimal
;anthro_hueftumfang;Hüftumfang(cm);decimal
;anthro_hueftumfang_fup;Hüftumfang_follow up (cm);decimal
;a_anthro_fettmasse;Bereinigter Körperfettanteil in % gemessen und automatisch oder manuell eingetragen;decimal
;age_anth_fup;Alter am Untersuchungsdatum (follow up);decimal
;gcal;Energie (Kilokalorien)  [kcal/d];decimal
;a_nu_zk;Kohlenhydrate, resorbierbar  [mg/d];decimal
;a_nu_ze;Eiweiß (Protein)  [mg/d];decimal
;a_nu_zf;Fett  [mg/d];decimal
;a_nu_za;Alkohol (Ethanol)  [mg/d];decimal
;a_nu_zb;Ballaststoffe  [mg/d];decimal
;a_nu_km;Monosaccharide [mg/d];decimal
;a_nu_kp;Polysaccharide [mg/d];decimal
;a_nu_kmd;Zucker (gesamt)  [mg/d];decimal
;a_nu_kmt;Glucose (Traubenzucker)  [mg/d];decimal
;"
a_nu_kmf";Fructose (Fruchtzucker)  [mg/d];decimal
;a_nu_mna;Natrium  [mg/d];decimal
;a_nu_mk;Kalium  [mg/d];decimal
