index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;TG;Triglycerides measured from blood samples [mmol/L];decimal;IDEFICS_P2;trg;operation;trg/88.57;;complete;compatible
;CHOL;Total cholesterol measured from blood samples [mmol/L];decimal;IDEFICS_P2;tc;operation;tc/38.67;;complete;compatible
;LDL;LDL cholesterol measured from blood samples [mmol/L];decimal;IDEFICS_P2;ldl;operation;ldl/38.67;;complete;compatible
;HDL;HDL cholesterol measured from blood samples [mmol/L];decimal;IDEFICS_P2;hdl;operation;hdl/38.67;;complete;compatible
;BMI;Body Mass Index at baseline [kg/m²];decimal;IDEFICS_P2;bmi;direct_mapping;direct_mapping;;complete;identical
;BMI_FUP;Body Mass Index at follow-up [kg/m²];decimal;IDEFICS_P2;bmi_T3;direct_mapping;direct_mapping;;complete;identical
;BMI_SDS;Body Mass Index Standard Deviation Score at baseline (children studies);decimal;IDEFICS_P2;BMI_SDS;direct_mapping;direct_mapping;To be generated by the DHO;complete;identical
;BMI_SDS_FUP;Body Mass Index Standard Deviation Score at follow-up (children studies);decimal;IDEFICS_P2;BMI_SDS_FUP;direct_mapping;direct_mapping;To be generated by the DHO;complete;identical
;WAIST_FUP;Waist circumference at follow-up [cm];decimal;IDEFICS_P2;waist_T3;direct_mapping;direct_mapping;;complete;identical
;WAIST;Waist circumference at baseline [cm];decimal;IDEFICS_P2;waist;direct_mapping;direct_mapping;;complete;identical
;HIP;Hip circumference at baseline [cm];decimal;IDEFICS_P2;hip_circ;direct_mapping;direct_mapping;;complete;identical
;HIP_FUP;Hip circumference at follow-up [cm];decimal;IDEFICS_P2;;impossible;impossible;;impossible;unavailable
;FMI_FUP;Fat mass index at follow-up  [kg/m²];decimal;IDEFICS_P2;;impossible;impossible;;impossible;unavailable
;FMI;Fat mass index at baseline  [kg/m²];decimal;IDEFICS_P2;FMI;direct_mapping;direct_mapping;;complete;identical
;BODY_FAT_FUP;Body fat percent at follow-up [%];decimal;IDEFICS_P2;BODY_FAT_FUP;direct_mapping;direct_mapping;To be generated by the DHO;complete;identical
;BODY_FAT;Body fat percent at baseline  [%];decimal;IDEFICS_P2;BODY_FAT;direct_mapping;direct_mapping;To be generated by the DHO;complete;identical
;AGE_ANTH_FUP;Age at anthropometric measurement at follow-up [years];decimal;IDEFICS_P2;age_T3;direct_mapping;direct_mapping;;complete;identical
;ENERGY;Energy intake [kcal/d];decimal;IDEFICS_P2;ENERGY;direct_mapping;direct_mapping;;complete;identical
;CARB;Carbohydrate intake [g/d];decimal;IDEFICS_P2;CARB;direct_mapping;direct_mapping;;complete;identical
;PROT;Protein intake [g/d];decimal;IDEFICS_P2;PROT;direct_mapping;direct_mapping;;complete;identical
;FAT;Fat intake [g/d];decimal;IDEFICS_P2;FAT;direct_mapping;direct_mapping;;complete;identical
;ALC;Alcohol intake [g/d];decimal;IDEFICS_P2;ALC;direct_mapping;direct_mapping;;complete;identical
;FIBER;Dietary fiber intake [g/d];decimal;IDEFICS_P2;FIBER;direct_mapping;direct_mapping;;complete;identical
;SFA;Saturated fat intake [g/d];decimal;IDEFICS_P2;SFA;direct_mapping;direct_mapping;;complete;identical
;MUFA;Monounsaturated fat intake [g/d];decimal;IDEFICS_P2;MUFA;direct_mapping;direct_mapping;;complete;identical
;PUFA;Polyunsaturated fat intake [g/d];decimal;IDEFICS_P2;PUFA;direct_mapping;direct_mapping;;complete;identical
;TOT_SUGARS;Total sugar intake [g/d];decimal;IDEFICS_P2;TOT_SUGARS;direct_mapping;direct_mapping;;complete;identical
;ADD_SUGARS;Added sugar intake [g/d];decimal;IDEFICS_P2;;impossible;impossible;;impossible;unavailable
;FREE_SUGARS;Free sugar intake [g/d];decimal;IDEFICS_P2;;impossible;impossible;;impossible;unavailable
;GLUC;Glucose intake [g/d];decimal;IDEFICS_P2;GLUC;direct_mapping;complete;;complete;identical
;FRUC;Fructose intake [g/d];decimal;IDEFICS_P2;FRUC;direct_mapping;complete;;complete;identical
;GI;Daily glycaemic index;decimal;IDEFICS_P2;;impossible;impossible;;impossible;unavailable
;GL;Daily glycaemic load;decimal;IDEFICS_P2;;impossible;impossible;;impossible;unavailable
;SODIUM;Sodium intake [mg/d];decimal;IDEFICS_P2;NA;direct_mapping;direct_mapping;;complete;identical
;SOD_POT_RATIO;Sodium to potassium intake ratio;decimal;IDEFICS_P2;"NA;K";operation;NA/K;;complete;compatible
