index;name;label;valueType
;TG;Triglycerides measured from blood samples [mmol/L];decimal
;CHOL;Total cholesterol measured from blood samples [mmol/L];decimal
;LDL;LDL cholesterol measured from blood samples [mmol/L];decimal
;HDL;HDL cholesterol measured from blood samples [mmol/L];decimal
;BMI;Body Mass Index at baseline [kg/m²];decimal
;BMI_FUP;Body Mass Index at follow-up [kg/m²];decimal
;BMI_SDS;Body Mass Index Standard Deviation Score at baseline (children studies);decimal
;BMI_SDS_FUP;Body Mass Index Standard Deviation Score at follow-up (children studies);decimal
;WAIST_FUP;Waist circumference at follow-up [cm];decimal
;WAIST;Waist circumference at baseline [cm];decimal
;HIP;Hip circumference at baseline [cm];decimal
;HIP_FUP;Hip circumference at follow-up [cm];decimal
;FMI_FUP;Fat mass index at follow-up  [kg/m²];decimal
;FMI;Fat mass index at baseline  [kg/m²];decimal
;BODY_FAT_FUP;Body fat precent at follow-up [%];decimal
;BODY_FAT;Body fat precent at baseline  [%];decimal
;AGE_ANTH_FUP;Age at anthropometric measurement at follow-up [years];decimal
;ENERGY;Energy intake [kcal/d];decimal
;CARB;Carbohydrate intake [g/d];decimal
;PROT;Protein intake [g/d];decimal
;FAT;Fat intake [g/d];decimal
;ALC;Alcohol intake [g/d];decimal
;FIBER;Dietary fiber intake [g/d];decimal
;SFA;Saturated fat intake [g/d];decimal
;MUFA;Monounsaturated fat intake [g/d];decimal
;PUFA;Polyunsaturated fat intake [g/d];decimal
;TOT_SUGARS;Total sugar intake [g/d];decimal
;ADD_SUGARS;Added sugar intake [g/d];decimal
;FREE_SUGARS;Free sugar intake [g/d];decimal
;GLUC;Glucose intake [g/d];decimal
;FRUC;Fructose intake [g/d];decimal
;GI;Daily glycaemic index;decimal
;GL;Daily glycaemic load;decimal
;SODIUM;Sodium intake [g/d];decimal
;SOD_POT_RATIO;Sodium to potassium intake ratio [g/d];decimal
