index;name;label;valueType
;ID;ID;integer
;sex;sex;integer
;age;age;decimal
;school;School education;integer
;occup_edu_h;Highest professional qualification;integer
;met_we;MET per week;decimal
;smoker;smoker;integer
;work_status;Current status of occupation;integer
;employ;Currently employed;integer
;packyear_tabacco;Packyears(cigarettes/cigars/pipes);decimal
;cignr_day;Currently nr. smoked cigarettes/day;decimal
;cigarnr_day;Currently nr. smoked cigars/day;decimal
;pipe_day;Currently nr. smoked pipes/day;decimal
;tabacconr_day;Currently nr. smoked cigarettes,cigars,pipes /day;decimal
;smokestop;Age at stop Smoking;decimal
;vit_min;Vitamine, Mineralstoffe(J/N);integer
;fr_period1;Period_current;integer
;fr_op7;Ovariectomy;integer
;fr_hrt1;fr_hrt1;integer
;children;Number of biological children;integer
;diabetes2;Diabetes(interview or antidiabetic med);integer
;hyp_i;Physician diagnosed hypertension(self reported);integer
;htn_kora;Hypertension:>=140/90 or drugs(ATC) if known htn;integer
;AGE_HYP;Age at diagnosis of essential hypertension;decimal
;cvd;CVD 1=yes 0=no 2=poss. by MI_final/CABG/PTCA/stroke/carotis-OP;integer
;cancer;Cancer ever(interview);integer
;fam_stroke;Family history of stroke(parents or sibling);integer
;fam_diab;Family history of dm(parents or sibling);integer
;fam_cancer;Family history of cancer(parents or sibling);integer
;MED_STAT;Regular use of statins;integer
;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer
;f1_htn_kora;measured blood pressure >=140/90;integer
;f2_htn_kora;medication if known htn at FU2;integer
;f1_chf_total_inz;inc. chronic heart failure Carla_1;integer
;f2_insuff_date;Wann wurde die Herzinsuffizienz zum ersten Mal diagnostiziert;date
;vit_stat;Vital status(1=dead/0=alive));integer
;tod_dat;Date of death;datetime
;gebdat;Date of birth;datetime
