index;name;label;valueType
;ID;ID;Integer
;sex_child;Sex of the child;Integer
;age;Age[years];decimal
;isced_max;Isced level:Maximum of both parents;Integer
;leis_activ;Leisure activity [hours per week];decimal
;phys_activ;Physical activity[hours per week];decimal
;occupst_1;employment status of the first person filled in the questionnaire;Integer
;occupst_2;employment status of the second person filled in the questionnaire;Integer
;migration_T3;Migration status of parents at follow up;Integer
;LPA;Avg time in light PA (min./day);decimal
;MPA;Avg time in moderate PA (min./day);decimal
;VPA;Average time in vigorous PA (min./day);decimal
;chdiabet;History of Diabetes mellitus (ICD-10 2010 – E14);Integer
