index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;ID;Participant identification number;integer;;ID;id_creation;id_creation;;complete;identical
;SEX;Sex;integer;;sex;direct_mapping;direct_mapping;;complete;identical
;AGE_BASE;Age at exposure measure [years];decimal;;age;direct_mapping;direct_mapping;;complete;identical
;EDU_LEVEL;Education;integer;;SDisced97z;recode;"recode(1=0;2=1;3=2;4=3;5=5;6=6;7=8;)";;complete;compatible
;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;;"KAmet31;KAmet32; KAmet41;KAmet42; KAmet51;KAmet52";operation;(1.5 * (KAmet31 + KAmet32))+ (3 * (KAmet41 + KAmet42)) + (6 * (KAmet51 + KAmet52)) / 7;;complete;compatible
;SMOKE_ST;Smoking status;integer;;RCstatD;recode;"recode(1=1;2=2;3=3;4=3;5=4;6=5;7=6;)";;complete;compatible
;EMPLOY;Employment;integer;;SDerwerbB;recode;"recode(1=5;2=2;3=2;4=1;5=7;6=6;)";;complete;compatible
;IMMIGRATION;Immigration background;integer;;"MIstaat_m1;MIstaat_m2";case_when;"case_when(
  MIstaat_m1 == 1 ~ 1,
  MIstaat_m2 == 1 ~ 0,
  TRUE ~ NA_integer_
)";"# if nationality is German then map to 1
# if nationality is Other then map to 0
# everything else (missing or unexpected values";complete;compatible
;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;;;impossible;impossible;;impossible;unavailable
;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;;;impossible;impossible;;impossible;unavailable
;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;;"RCz3C;RCz4C;RCzC";operation;(RCz3C*5)+(RCz4C *5)+(RCzC*1);;complete;compatible
;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;;RCexC_a;direct_mapping;direct_mapping;;complete;identical
;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;;;impossible;impossible;;impossible;unavailable
;MENOPAUSE;Menopause status;integer;;SEmens2;recode;"recode(1=1;2=0;)";;partial;compatible
;HRT;Hormone replacement therapy;integer;;;impossible;impossible;;impossible;unavailable
;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;;;impossible;impossible;;impossible;incompatible
;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;;;impossible;impossible;;impossible;unavailable
;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;;;impossible;impossible;;impossible;unavailable
;PREV_DIAB;History of diabetes;integer;;KHdiab12p;recode;"recode(1=1;2=0;)";;complete;compatible
;PREV_HYP;History of hypertension;integer;;KHhyp12p;recode;"recode(1=1;2=0;)";;complete;compatible
;PREV_CVD;History of cardiovascular disease;integer;;KHkhk12p;recode;"recode(1=1;2=0;)";;complete;compatible
;PREV_CANCER;History of cancer;integer;;KHkarz12p;recode;"recode(1=1;2=0;)";;complete;compatible
;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_DIAB2;First degree family history of T2D;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_CANCER;First degree family history of cancer;integer;;;impossible;impossible;;impossible;unavailable
;DRE_SCREEN;Screening, DRE;integer;;;impossible;impossible;;impossible;unavailable
;PSA_SCREEN;Screening, PSA;integer;;;impossible;impossible;;impossible;unavailable
;FOBT_SCREEN;Screening, FOBT;integer;;;impossible;impossible;;impossible;unavailable
;COL_SCREEN;Screening, colonoscopy;integer;;;impossible;impossible;;impossible;unavailable
;MELANOMA_SCREEN;Screening, skin cancer;integer;;;impossible;impossible;;impossible;unavailable
;MAMMO_SCREEN;Screening, mammography;integer;;;impossible;impossible;;impossible;unavailable
;CERVICAL_SCREEN;Screening cervical, smear test;integer;;;impossible;impossible;;impossible;unavailable
;MED_STAT;Regular use of statins;integer;;;impossible;impossible;;impossible;unavailable
;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer;;;impossible;impossible;;impossible;unavailable
;INC_CVD;CVD event during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_CVD;Age at diagnosis of CVD [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_ANGINA;Angina pectoris event during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_ANGINA;Age at diagnosis of angina pectoris [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_MI;Myocardial infarction during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_MI;Age at diagnosis of myocardial infarction [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_STR;Stroke during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_STR;Age at diagnosis of stroke [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_ISC_STR;Cerebral infarction (ischaemic stroke) during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_ISC_STR;Age at diagnosis of cerebral infarction (ischaemic stroke) [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_HAEMO_STR;Haemorrhagic stroke during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_HAEMO_STR;Age at diagnosis of haemorrhagic stroke [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_HYP;Essential hypertension during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_HYP;Age at diagnosis of essential hypertension [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_HF;Heart failure during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_HF;Age at diagnosis of heart failure [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_DIAB2;Diabetes mellitus type 2 during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_DIAB2;Age at diagnosis of diabetes mellitus type 2 [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_CANCER;Cancer during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;TYPE_CANCER;Type of Cancer (ICD 10, 3 digits,e.g. C18.3);text;;;impossible;impossible;;impossible;unavailable
;AGE_CANCER;Age at diagnosis of cancer [years];decimal;;;impossible;impossible;;impossible;unavailable
;VITAL_ST;Vital status at the end of mortality follow-up;integer;;tdvital1;recode;"recode(1=0;2=1;)";;complete;compatible
;AGE_DEATH;Age at time of death [years];decimal;;;impossible;impossible;;impossible;unavailable
;VITAL_ST_CVD;Vital status at the end of CVD mortality follow-up;integer;;;impossible;impossible;;impossible;unavailable
;VITAL_ST_CANCER;Vital status at the end of cancer mortality follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_FUP;Age at end of follow-up [years];decimal;;AGE_FUP;direct_mapping;direct_mapping;;complete;identical
