index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;ID;Participant identification number;integer;;ident;id_creation;id_creation;;complete;identical
;SEX;Sex;integer;;SEX;direct_mapping;direct_mapping;;complete;identical
;AGE_BASE;Age at exposure measure [years];decimal;;age0;direct_mapping;direct_mapping;;complete;identical
;EDU_LEVEL;Highest level of education [ISCED 2011];integer;;"educc7;abschlus";case_when;"case_when(
educc7 %in% c(7) ~ 7L,
educc7 %in% c(5,6) ~ 6L,
educc7 %in% c(3,4) ~ 4L,
abschlus %in% c(3,4) ~ 3L,
abschlus %in% c(1,2) ~ 2L,
abschlus %in% c(5) ~ 0L,
TRUE ~ NA_integer_)";;complete;compatible
;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;;pal;direct_mapping;direct_mapping;;complete;identical
;SMOKE_ST;Smoking status;integer;;smkst0i;direct_mapping;direct_mapping;;complete;identical
;EMPLOY;Employment;integer;;occstat6;recode;"recode(1=1; 2=2; 3=7; 4=7; 5=4; 6=5)";;complete;compatible
;IMMIGRATION;Immigration background;integer;;impossible;impossible;impossible;;impossible;unavailable
;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;;impossible;impossible;impossible;;impossible;unavailable
;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;;impossible;impossible;impossible;;impossible;unavailable
;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;;"zt3;zr3;pf3";operation;"ifelse(is.na(zt3),
                      ifelse(is.na(zr3), 
                             ifelse(is.na(pf3),0,pf3*5),
                             ifelse(is.na(pf3),zr3*5,zr3*5+pf3*5)),
                      ifelse(is.na(zr3),
                             ifelse(is.na(pf3),zt3*1,zt3*1+pf3*5),
                             ifelse(is.na(pf3),zt3*1+zr3*5, zt3*1+ zr3*5 + pf3*5)))";;complete;compatible
;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;;"age0;d_recrui;ysmkces0";operation;"age0 + (as.numeric(as.Date(paste0(ysmkces0, ""-06-30"")))-as.numeric(d_recrui))/365.25";;complete;compatible
;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;;vitamin;direct_mapping;direct_mapping;;complete;identical
;MENOPAUSE;Menopause status;integer;;radmeno;recode;"recode(0=3; 1=0; 2=1; 9=NA)";no distinction between pre- and perimenopausal possible, hence this was mapped to premenopausal category in harmonized variable;partial;proximate
;HRT;Hormone replacement therapy;integer;;horheute;direct_mapping;direct_mapping;;complete;identical
;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;;zeitraum;direct_mapping;direct_mapping;;complete;identical
;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;;kinder;direct_mapping;direct_mapping;number of children as proxy for number of pregnancies;partial;proximate
;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;;kind1;direct_mapping;direct_mapping;;complete;identical
;PREV_DIAB;History of diabetes;integer;;casediab_fup5;case_when;"case_when(
casediab_fup5 == 1 ~ 1L,
TRUE ~ 0)";;complete;compatible
;PREV_HYP;History of hypertension;integer;;casehyp_fup5;case_when;"case_when(
casehyp_fup5 == 1 ~ 1L,
TRUE ~ 0)";;complete;compatible
;PREV_CVD;History of cardiovascular disease;integer;;"casemi_fup5;casestroke_fup5";case_when;"case_when(
casemi_fup5 == 1 | casestroke_fup5 == 1 | casehf_fup5 == 1 ~ 1L,
TRUE ~ 0L)";;complete;compatible
;PREV_CANCER;History of cancer;integer;;prevcanc;direct_mapping;direct_mapping;;complete;identical
;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer;;impossible;impossible;impossible;;impossible;unavailable
;FAM1_DIAB2;First degree family history of T2D;integer;;impossible;impossible;impossible;;impossible;unavailable
;FAM1_CANCER;First degree family history of cancer;integer;;impossible;impossible;impossible;;impossible;unavailable
;DRE_SCREEN;Screening, DRE;integer;;impossible;impossible;impossible;;impossible;unavailable
;PSA_SCREEN;Screening, PSA;integer;;impossible;impossible;impossible;;impossible;unavailable
;FOBT_SCREEN;Screening, FOBT;integer;;impossible;impossible;impossible;;impossible;unavailable
