index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;ID;Participant identification number;integer;;ID;id_creation;id_creation;;complete;identical
;SEX;Sex;integer;;sex_child;direct_mapping;direct_mapping;;complete;identical
;AGE_BASE;Age at exposure measure [years];decimal;;age;direct_mapping;direct_mapping;;complete;identical
;EDU_LEVEL;Education;integer;;isced_max;recode;"recode(0=0;1=1;2=2;3=3;4=4;5=5;6=7;)";;complete;compatible
;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;;"phys_activ;leis_activ";operation;6.17 * (phys_activ + leis_activ) / 7;The average MET value of children between 6 to 15years was determined according to NCCOR Compendium.METy Values (Smoothed) – View All Categories - NCCOR Youth Compendium of Physical Activities;complete;compatible
;SMOKE_ST;Smoking status;integer;;;impossible;impossible;;impossible;unavailable
;EMPLOY;Employment;integer;;"occupst_1;occupst_2";case_when;"occupation_level <- case_when(
  occupst_1 %in% 1 | occupst_2 %in% 1 ~ 1L, 
  occupst_1 %in% 2 | occupst_2 %in% 2 ~ 2L, 
  occupst_1 %in% 4 & occupst_2 %in% 4 ~ 3L, 
  occupst_1 %in% 5 & occupst_2 %in% 5 ~ 4L,        
  is.na(occupst_1) & occupst_2 %in% 5 ~ 4L, 
  is.na(occupst_2) & occupst_1 %in% 5 ~ 4L,  
  (occupst_1 %in% 4 & occupst_2 %in% 3) | (occupst_1 %in% 3 & occupst_2 %in% 4)  ~ 6L,
  (occupst_1 %in% 4 & occupst_2 %in% 5) | (occupst_1 %in% 5 & occupst_2 %in% 4) ~ 4L, 
  (occupst_1 %in% 4 & occupst_2 %in% 6) | (occupst_1 %in% 6 & occupst_2 %in% 4) ~ 7L,
  occupst_1 %in% c(7,8,9) & occupst_2 %in% c(7,8,9) ~ 5L, 
  is.na(occupst_1) & occupst_2 %in% c(7,8,9) ~ 5L,
  is.na(occupst_2) & occupst_1 %in% c(7,8,9) ~ 5L,  
  (occupst_1 %in% 3 & occupst_2 %in% 5) | (occupst_1 %in% 5 & occupst_2 %in% 3) ~ 4L,     
  (occupst_1 %in% 6 & occupst_2 %in% 5) | (occupst_1 %in% 5 & occupst_2 %in% 6) ~ 7L,   
  occupst_1 %in% 3 & occupst_2 %in% 3 ~ 6L,   
  is.na(occupst_1) & occupst_2 %in% 3 ~ 6L,   
  is.na(occupst_2) & occupst_1 %in% 3 ~ 6L,   
  (occupst_1 %in% 3 & occupst_2 %in% 6) | (occupst_1 %in% 6 & occupst_2 %in% 3) ~ 7L, 
  occupst_1 %in% c(6,10) | occupst_2 %in% c(6,10) ~ 7L,         
  is.na(occupst_1) & is.na(occupst_2) ~ 7L,                                   occupst_1 %in% 10 & occupst_2 %in% 10 ~ 7L,                          occupst_1 %in% 10 & occupst_2 %in% c(1:9) ~ 1L,                    occupst_1 %in% c(1:9) & occupst_2 %in% 10 ~ 1L,                     
  TRUE ~ NA_integer_
)";"
# If either parent is ""fully employed (100%),"" assign 1L.
# If either parent works ""more than half day,"" ""half day,"" or ""less than half day,""  assign 2L.
# If both parents are ""are home markers,"" assign 3L.                                                                   # If both parents are ""retired,"" assign 4L.                                                                  # If both parents are ""not at all employed,"" assign 5L.
# If one parent's status is NA, use the other parent's status to determine the category. # If one parent's status is lower, use the other parent's higher-status to determine the category. 
# If both are NA, assign 7L (""other"").";complete;compatible
;IMMIGRATION;Immigration background;integer;;migration_T3;recode;"recode(0=0;1=1;2=1;)";;complete;compatible
;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;;"LPA;MPA;VPA";operation;(1.5 * LPA + 3 * MPA + 6 * VPA) / 60;;complete;compatible
;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;;;impossible;impossible;;impossible;unavailable
;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;;;impossible;impossible;;impossible;unavailable
;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;;;impossible;impossible;;impossible;unavailable
;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;;;impossible;impossible;;impossible;unavailable
;MENOPAUSE;Menopause status;integer;;;impossible;impossible;;impossible;unavailable
;HRT;Hormone replacement therapy;integer;;;impossible;impossible;;impossible;unavailable
;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;;;impossible;impossible;;impossible;unavailable
;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;;;impossible;impossible;;impossible;unavailable
;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;;;impossible;impossible;;impossible;unavailable
;PREV_DIAB;History of diabetes;integer;;chdiabet;direct_mapping;direct_mapping;;complete;identical
;PREV_HYP;History of hypertension;integer;;;impossible;impossible;;impossible;unavailable
;PREV_CVD;History of cardiovascular disease;integer;;;impossible;impossible;;impossible;unavailable
;PREV_CANCER;History of cancer;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_DIAB2;First degree family history of T2D;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_CANCER;First degree family history of cancer;integer;;;impossible;impossible;;impossible;unavailable
;DRE_SCREEN;Screening, DRE;integer;;;impossible;impossible;;impossible;unavailable
;PSA_SCREEN;Screening, PSA;integer;;;impossible;impossible;;impossible;unavailable
;FOBT_SCREEN;Screening, FOBT;integer;;;impossible;impossible;;impossible;unavailable
;COL_SCREEN;Screening, colonoscopy;integer;;;impossible;impossible;;impossible;unavailable
;MELANOMA_SCREEN;Screening, skin cancer;integer;;;impossible;impossible;;impossible;unavailable
;MAMMO_SCREEN;Screening, mammography;integer;;;impossible;impossible;;impossible;unavailable
;CERVICAL_SCREEN;Screening cervical, smear test;integer;;;impossible;impossible;;impossible;unavailable
;MED_STAT;Regular use of statins;integer;;;impossible;impossible;;impossible;unavailable
;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer;;;impossible;impossible;;impossible;unavailable
;INC_CVD;CVD event during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_CVD;Age at diagnosis of CVD [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_ANGINA;Angina pectoris event during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_ANGINA;Age at diagnosis of angina pectoris [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_MI;Myocardial infarction during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_MI;Age at diagnosis of myocardial infarction [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_STR;Stroke during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_STR;Age at diagnosis of stroke [years];decimal;;;impossible;impossible;;impossible;unavailable
