index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;ID;Participant identification number;integer;;id;id_creation;id_creation;;complete;identical
;SEX;Sex;integer;;basis_sex;direct_mapping;direct_mapping;;complete;identical
;AGE_BASE;Age at exposure measure [years];decimal;;basis_age;direct_mapping;direct_mapping;;complete;identical
;EDU_LEVEL;Education;integer;;a_ses_isced11_level;direct_mapping;direct_mapping;;complete;identical
;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;;a_gpaq_ptotalmet;operation;(a_gpaq_ptotalmet/60)/7;;complete;compatible
;SMOKE_ST;Smoking status;integer;;a_smok_stat_qn;direct_mapping;direct_mapping;;complete;identical
;EMPLOY;Employment;integer;;;impossible;impossible;;impossible;unavailable
;IMMIGRATION;Immigration background;integer;;;impossible;impossible;No migration background;impossible;unavailable
;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;;;impossible;impossible;;impossible;unavailable
;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;;a_packyears;direct_mapping;direct_mapping;;complete;identical
;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;;;impossible;impossible;;impossible;unavailable
;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;;a_f_smok_quit_age;direct_mapping;direct_mapping;;complete;identical
;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;;;impossible;impossible;;impossible;unavailable
;MENOPAUSE;Menopause status;integer;;;impossible;impossible;;impossible;unavailable
;HRT;Hormone replacement therapy;integer;;d_f_mp1;recode;"recode(1= 1; 2 = 0;ELSE=NA;)";;complete;compatible
;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;;;impossible;impossible;;impossible;unavailable
;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;;d_sn1;direct_mapping;direct_mapping;;partial;proximate
;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;;;impossible;impossible;;impossible;unavailable
;PREV_DIAB;History of diabetes;integer;;d_fa_m3_dm;recode;"recode(2= 0; 11= 1;12=1;13=1;14=1;ELSE=NA;)";;complete;compatible
;PREV_HYP;History of hypertension;integer;;d_an_cv_6;recode;"recode(1= 1; 2 = 0;ELSE=NA;)";;complete;compatible
;PREV_CVD;History of cardiovascular disease;integer;;;impossible;impossible;;impossible;unavailable
;PREV_CANCER;History of cancer;integer;;d_an_ca;recode;"recode(1= 1; 2 = 0;ELSE=NA)";;complete;compatible
;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_DIAB2;First degree family history of T2D;integer;;;impossible;impossible;;impossible;unavailable
;FAM1_CANCER;First degree family history of cancer;integer;;;impossible;impossible;;impossible;unavailable
;DRE_SCREEN;Screening, DRE;integer;;;impossible;impossible;;impossible;unavailable
;PSA_SCREEN;Screening, PSA;integer;;;impossible;impossible;;impossible;unavailable
;FOBT_SCREEN;Screening, FOBT;integer;;;impossible;impossible;;impossible;unavailable
;COL_SCREEN;Screening, colonoscopy;integer;;;impossible;impossible;;impossible;unavailable
;MELANOMA_SCREEN;Screening, skin cancer;integer;;;impossible;impossible;;impossible;unavailable
;MAMMO_SCREEN;Screening, mammography;integer;;;impossible;impossible;;impossible;unavailable
;CERVICAL_SCREEN;Screening cervical, smear test;integer;;;impossible;impossible;;impossible;unavailable
;MED_STAT;Regular use of statins;integer;;;impossible;impossible;;impossible;unavailable
;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer;;;impossible;impossible;;impossible;unavailable
;INC_CVD;CVD event during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_CVD;Age at diagnosis of CVD [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_ANGINA;Angina pectoris event during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_ANGINA;Age at diagnosis of angina pectoris [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_MI;Myocardial infarction during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_MI;Age at diagnosis of myocardial infarction [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_STR;Stroke during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_STR;Age at diagnosis of stroke [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_ISC_STR;Cerebral infarction (ischaemic stroke) during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_ISC_STR;Age at diagnosis of cerebral infarction (ischaemic stroke) [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_HAEMO_STR;Haemorrhagic stroke during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_HAEMO_STR;Age at diagnosis of haemorrhagic stroke [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_HYP;Essential hypertension during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_HYP;Age at diagnosis of essential hypertension [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_HF;Heart failure during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_HF;Age at diagnosis of heart failure [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_DIAB2;Diabetes mellitus type 2 during follow-up;integer;;;impossible;impossible;;impossible;unavailable
;AGE_DIAB2;Age at diagnosis of diabetes mellitus type 2 [years];decimal;;;impossible;impossible;;impossible;unavailable
;INC_CANCER;Cancer during follow-up;integer;;;impossible;impossible;;impossible;unavailable
