index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;ID;Participant identification number;integer;;col_id;id_creation;id_creation;complete;complete;identical
;SEX;Sex;integer;;INT_sex;direct_mapping;direct_mapping;;complete;identical
;AGE_BASE;Age at exposure measure [years];decimal;;AGE;direct_mapping;direct_mapping;;complete;identical
;EDU_LEVEL;Education;integer;;edlevel_s0;recode;"recode(0=0; 1=1; 2=2; 3=4; 4=7; 5=9;)";;complete;compatible
;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;;;impossible;impossible;;impossible;unvailable
;SMOKE_ST;Smoking status;integer;;smoking_s0;recode;"recode(0=1; 1=2; 2=3;)";;complete;compatible
;EMPLOY;Employment;integer;;erwerb;recode;"recode(1=5; 2=1; 3=2; 4=2; 5=6; 6=1;7=7;8=7;9=7;)";;complete;compatible
;IMMIGRATION;Immigration background;integer;;__BLANK__;paste;1;This variable is not applicable, as the study targets specifically West Pomerania, so all participants can be assumed to be German.;complete;compatible
;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;;;impossible;impossible;;impossible;unvailable
;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;;packyrs_s0;direct_mapping;direct_mapping;;complete;identical
;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;;ncig1;direct_mapping;direct_mapping;;complete;identical
;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;;;impossible;impossible;;impossible;unvailable
;MENOPAUSE;Menopause status;integer;;menostat_s0;direct_mapping;direct_mapping;;complete;identical
;HRT;Hormone replacement therapy;integer;;use_mht_s0;recode;"recode(0=0; 1=1; 97=1;)";;complete;compatible
;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;;ocyears;direct_mapping;direct_mapping;;complete;identical
;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;;babies;direct_mapping;direct_mapping;;partial;identical
