variable;name;label;missing
sex;1;männlich;
sex;2;weiblich;
schulab_corr;1;Schüler;
schulab_corr;2;ohne Abschluss;
schulab_corr;3;Hauptschul;
schulab_corr;4;Realschul;
schulab_corr;5;Polytechn OS 8./9. Kl;
schulab_corr;6;Polytechn OS 10.Kl.;
schulab_corr;7;Fachhochschul;
schulab_corr;8;Abitur;
schulab_corr;9;Abitur 2. Bild.weg;
schulab_corr;10;anderer Schulabschluss;
schulab_corr;999;weiß nicht;
schulab_corr;888;k.A.;
berufab1;1;ja;
berufab1;2;nein;
berufab1;999;weiß nicht;
berufab1;888;keine Angabe;
berufab2;1;ja;
berufab2;2;nein;
berufab2;999;weiß nicht;
berufab2;888;keine Angabe;
berufab3;1;ja;
berufab3;2;nein;
berufab3;999;weiß nicht;
berufab3;888;keine Angabe;
berufab4;1;ja;
berufab4;2;nein;
berufab4;999;weiß nicht;
berufab4;888;keine Angabe;
berufab5;1;ja;
berufab5;2;nein;
berufab5;999;weiß nicht;
berufab5;888;keine Angabe;
berufab6;1;ja;
berufab6;2;nein;
berufab6;999;weiß nicht;
berufab6;888;keine Angabe;
berufab7;1;ja;
berufab7;2;nein;
berufab7;999;weiß nicht;
berufab7;888;keine Angabe;
berufab8;1;ja;
berufab8;2;nein;
berufab8;999;weiß nicht;
berufab8;888;keine Angabe;
berufab9;1;ja;
berufab9;2;nein;
berufab9;999;weiß nicht;
berufab9;888;keine Angabe;
berufab10;1;ja;
berufab10;2;nein;
berufab10;999;weiß nicht;
berufab10;888;keine Angabe;
berufab11;1;ja;
berufab11;2;nein;
berufab11;999;weiß nicht;
berufab11;888;keine Angabe;
berufab12;1;ja;
berufab12;2;nein;
berufab12;999;weiß nicht;
berufab12;888;keine Angabe;
rauchstatus;1;nie;
rauchstatus;2;ja bis heute;
rauchstatus;3;ja früher;
