index;name;label;valueType
1;id;ID;integer
2;sex;sex;integer
3;age;age;decimal
4;school;School education;integer
5;occup_edu_h;Highest professional qualification;integer
6;met_we;MET per week;decimal
7;smoker;smoker;integer
8;bmi;bmi;decimal
9;gj;Gesamtenergie [kJ/Tag];decimal
10;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal
11;POTATOES_0101;Potato intake [g/d];decimal
12;VEGETABLES_02;Vegetable intake [g/d];decimal
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal
18;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal
19;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal
20;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal
21;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal
22;LEGUMES_TOT_03;Total legumes intake [g/d];decimal
23;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal
24;FRUITS_TOT_04;Total fruit intake [g/d];decimal
25;FRUITS_0401;Intake of fresh fruits [g/d];decimal
26;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal
27;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal
28;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal
29;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal
30;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal
31;YOGURT_0503;Intake of fermented milk products [g/d];decimal
32;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal
33;CHEESE_0505;Intake of cheese [g/d];decimal
34;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal
35;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal
36;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal
37;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal
38;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal
39;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal
40;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal
41;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal
