index;name;label;valueType
1;ID;ID;integer
2;sex;Geschlecht;integer
3;AGE_BASE;Age [years] at dietary assessment (1. record day);decimal
4;m_schulab;Schuldbildung der Mutter;integer
5;v_schulab;Schuldbildung des Vaters;integer
6;m_berufab;Berufsabschluss der Mutter;integer
7;v_berufab;Berufsabschluss des Vaters;integer
8;EMPLOY_P;parental employment status;integer
9;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/week];decimal
10;SMOKE_ST_HH;Smoker in Household [yes/no];integer
11;TG;Triglycerides measured from blood samples [mg/dl];decimal
12;CHOL;Cholesterol measured from blood samples [mg/dl];decimal
13;LDL;LDL measured from blood samples [mg/dl];decimal
14;HDL;HDL measured from blood samples [mg/dl];decimal
15;BMI;BMI at dietary assessment;decimal
16;BMI_FUP;BMI at follow-up;decimal
17;BMI_SDS;BMI-SDS at dietary assessment;decimal
18;WAIST_FUP;Waist circumference at follow-up [cm];decimal
19;WAIST;Waist circumference at dietary assessment [cm];decimal
20;HIP;Hip circumference at dietary assessment [cm];decimal
21;HIP_FUP;Hip circumference at follow-up [cm];decimal
22;FMI_FUP;FMI at follow-up;decimal
23;FMI;FMI at dietary assessment;decimal
24;BODY_FAT_FUP;Body fat % according to Durnin and Womersley at FUP;decimal
25;BODY_FAT;Body fat % according to Slaughter at dietary assessment;decimal
26;AGE_ANTH_FUP;age at anthro measurement;decimal
27;ENERGY;Energy intake [kcal/d];decimal
28;CARB;Carbohydrate intake [g/d];decimal
29;PROT;Protein intake [g/d];decimal
30;FAT;Fat intake [g/d];decimal
31;ALC;Alcohol intake [g/d];decimal
32;FIBER;Dietary fiber intake [g/d];decimal
33;SFA;Saturated fat intake [g/d];decimal
34;MUFA;Monounsaturated fat intake [g/d];decimal
35;PUFA;Polyunsaturated fat intake [g/d];decimal
36;TOT_SUGARS;Total sugar intake [g/d];decimal
37;ADD_SUGARS;Added sugar intake [g/d];decimal
38;FREE_SUGARS;Free sugar intake [g/d];decimal
39;GLUC;Glucose intake [g/d];decimal
40;FRUC;Fructose intake [g/d];decimal
41;GI;Daily glycaemic index;decimal
42;GL;Daily glycaemic load;decimal
43;SODIUM;Sodium intake [mg/d];decimal
44;SOD_POT_RATIO;Sodium to potassium intake ratio [g/d];decimal
45;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal
46;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal
47;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal
48;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal
49;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal
50;VEGETABLES_02;Vegetable intake [g/d];decimal
51;LEGUMES_TOT_03;Total legumes intake [g/d];decimal
52;FRUITS_TOT_04;Total fruit intake [g/d];decimal
53;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal
54;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal
55;COFFEE_130301;Coffee intake [g/d];decimal
56;TEA_130302;Tea intake [g/d];decimal
