index;name;label;valueType
1;ID;ID of the participant;Integer
2;sex_child;Sex of the child;Integer
3;age;Age[years];decimal
4;isced_max;Isced level:Maximum of both parents;Integer
5;leis_activ;Leisure activity [hours per week];decimal
6;phys_activ;Physical activity[hours per week];decimal
7;bmi;Body Mass Index;decimal
8;D19;"SACANA FGS D19 ""Potatoes and other starchy vegetables""";decimal
9;L47;"SACANA FGS L47 ""Based on potatoes""";decimal
10;D18;"SACANA FGS D18 ""Vegetables n.s.""";decimal
11;L44c;"SACANA FGS L44c ""Mixed salad""";decimal
12;D17;"SACANA FGS D17 ""Pulses n.s.""";decimal
13;L44;"SACANA FGS L44 ""Legumes/Vegs n.s.""";decimal
14;L46a;"SACANA FGS L46a ""Fish and vegetables/legumes""";decimal
15;D20;"SACANA FGS D20 ""Fruits n.s.""";decimal
16;D20a;"SACANA FGS D20a ""Fresh fruits""";decimal
17;D16a;"SACANA FGS D16a ""Nuts and seeds""";decimal
18;D16b;"SACANA FGS D16b ""Olives and avocados""";decimal
19;J;"SACANA FGS J ""Dairy and similar""";decimal
20;J37a;"SACANA FGS J37a ""Milk plain whole""";decimal
21;J37b;"SACANA FGS J37b ""Milk plain reduced fat""";decimal
22;J37c;"SACANA FGS J37c ""Chocolate milk, vanilla milk and sim""";decimal
23;J37d;"SACANA FGS  J37d ""Yogurt, probiotic and other fermented milk unsweened, full fat""";decimal
24;J37e;"SACANA FGS J37e ""Yogurt, probiotic and other fermented milk unsweened, low fat""";decimal
25;J37f;"SACANA FGS J37f ""Sweet Yogurt, probiotic and other fermented milk , full fat""";decimal
26;J37g;"SACANA FGS J37g ""Sweet Yogurt, probiotic and other fermented milk, low fat""";decimal
27;J38a;"SACANA FGS J38a ""Cheese low fat and curd (unsweetened)""";decimal
28;J38;"SACANA FGS  J38 ""Cheese n.s.""";decimal
29;J39a;"SACANA FGS J39a ""milk based ice-creams, desserts, (chocolate) pudding""";decimal
30;J38c;"SACANA FGS J38c ""Sweetened cheese and curd""";decimal
31;J39c;"SACANA FGS J39c ""cream""";decimal
