index;name;label;valueType
1;a_id;ID of the participant;integer
2;acsex;sex;integer
3;atalteru;age;decimal
4;atbbild;level of education;integer
5;atemploy;employment status;integer
6;atcigsmk;smoking status;integer
7;atstsalt;Age quitting cigarette smoking;decimal
8;atbmi;BMI;decimal
9;k4tbmi;Body Mass Index (BMI) at follow-up;decimal
10;al_choln;total cholesterol;decimal
11;al_hdln;HDL cholesterol;decimal
12;prev_dm_16;prevalent T2DM;integer
13;athyact;actual hypertension;integer
14;atcvd;history of CVD;integer
15;atmvcvd;stroke or MI history of father or mother;integer
16;atmvdiab;diabetes history of father or mother;integer
17;atmvca;cancer history of father or mother;integer
18;atmstati;use of statins;integer
19;inz_mi_16;validated incidence myocardial infarction;integer
20;mi_alter_16;age at end of follow-up for myocardial infarction;decimal
21;inz_apo_16;validated incidence stroke;integer
22;apo_alter_16;age at end of follow-up or stroke;decimal
23;inz_apo_isc_16;validated incidence ischaemic stroke;integer
24;inz_apo_haem_16;validatet incidence haemorrhagic stroke;integer
25;inz_dm_16;validated incidence T2DM;integer
26;dm_alter_16;age at end of  follow-up for T2DM;decimal
27;t_all_16;total mortality;integer
28;t_alter_16;Age at exit from mortality follow-up;decimal
29;t_cvd_16;CVD mortality;integer
30;t_ca_16;cancer mortality;integer
31;akcal;energy;decimal
32;akohle;carbohydrate;decimal
33;aeiwei;protein;decimal
34;afette;fat;decimal
35;aalk;alcohol;decimal
36;aballa;diatary fiber;decimal
37;ages;saturated fat;decimal
38;aeuf;monounsaturated fat;decimal
39;amuf;polyunsaturated fat;decimal
40;akmd;total sugar;decimal
41;akmt;glucose;decimal
42;akmf;fructose;decimal
43;anatr;sodium intake;decimal
44;akal;potassium intake;decimal
45;AV610;sugar;decimal
46;AV681;Honey;decimal
47;AV684;Jam;decimal
48;AV687;Other sweet spreads;decimal
49;AV620;cacao products;decimal
50;AV630;chocolate products;decimal
51;AV650;confectionary;decimal
52;AV670;all ice cream;decimal
53;AV570;long-life baked goods;decimal
54;AV540;Fine bakery products;decimal
55;AV810;fruit/vegetable juice;decimal
56;AV825;caffeinated lemonade;decimal
57;AV829;other soft drinks;decimal
58;AV431;cauliflower;decimal
59;AV433;other cabbage;decimal
60;AV440;leafy and stem vegetables;decimal
61;AV451;tomatoes;decimal
62;AV455;cucumbers;decimal
63;AV459;other fruit vegetables;decimal
64;AV461;onion vegetables;decimal
65;AV465;carrots;decimal
66;AV469;other fresh vegetables;decimal
67;AV470;frozen vegetables;decimal
68;AV480;canned vegetables;decimal
69;AV499;other vegetable products;decimal
70;AV491;dry legumes;decimal
71;AV310;fruit without specification;decimal
72;AV311;apples;decimal
73;AV315;other pome fruits;decimal
74;AV321;peaches;decimal
75;AV323;cherries;decimal
76;AV325;other stone fruits;decimal
77;AV331;strawberries;decimal
78;AV334;other berries;decimal
79;AV337;grapes;decimal
80;AV111;Beef;decimal
81;AV112;Veal;decimal
82;AV113;Pork meat;decimal
83;AV115;Sheep or goat meat;decimal
84;AV117;Game meat;decimal
85;AV119;other meat;decimal
86;AV120;Poultry meat;decimal
87;AV141;Sausage;decimal
88;AV145;Ham;decimal
89;AV147;Bacon;decimal
90;AV150;canned, frozen meat or meat products;decimal
91;AV160;other meat products;decimal
92;AV841;roasted coffee;decimal
93;AV845;coffee extracts;decimal
94;AV850;tea;decimal
95;AV341;oranges, mandarins;decimal
96;AV343;grapefruits;decimal
97;AV344;other citrus fruits;decimal
98;AV345;bananas;decimal
99;AV346;other tropical fruits;decimal
100;AV351;nuts;decimal
101;AV357;dried fruit;decimal
102;AV360;canned fruit;decimal
103;AV370;frozen fruit;decimal
104;AV390;other processed fruit;decimal
105;AV131;all kinds of minced meat;decimal
