index;name;label;valueType;...5;...6
1;d_id;ID of the participant;integer;;
2;dcsex;sex;integer;;
3;dtalteru;age;decimal;;
4;dtbbild;level of education;integer;;
5;dtcigsmk;smoking status;integer;;
6;dtbmi;BMI;decimal;;
7;dkcal;energy;decimal;;
8;DV410;potatoes;decimal;;
9;DV420;potato products;decimal;;
10;DV431;cauliflower;decimal;;
11;DV433;other cabbage;decimal;;
12;DV440;leafy and stem vegetables;decimal;;
13;DV451;tomatoes;decimal;;
14;DV455;cucumbers;decimal;;
15;DV459;other fruit vegetables;decimal;;
16;DV461;onion vegetables;decimal;;
17;DV465;carrots;decimal;;
18;DV469;other fresh vegetables;decimal;;
19;DV470;frozen vegetables;decimal;;
20;DV480;canned vegetables;decimal;;
21;DV491;dry legumes;decimal;;
22;DV499;other vegetable products;decimal;;
23;DV310;fruit without specification;decimal;;
24;DV311;apples;decimal;;
25;DV315;other pome fruits;decimal;;
26;DV321;peaches;decimal;;
27;DV323;cherries;decimal;;
28;DV325;other stone fruits;decimal;;
29;DV331;strawberries;decimal;;
30;DV334;other berries;decimal;;
31;DV337;grapes;decimal;;
32;DV341;oranges, mandarins;decimal;;
33;DV343;grapefruits;decimal;;
34;DV344;other citrus fruits;decimal;;
35;DV345;bananas;decimal;;
36;DV346;other tropical fruits;decimal;;
37;DV351;nuts;decimal;;
38;DV357;dried fruit;decimal;;
39;DV360;canned fruit;decimal;;
40;DV370;frozen fruit;decimal;;
41;DV390;other processed fruit;decimal;;
42;DV210;drinking milk;decimal;;
43;DV220;condensed milk or powder;decimal;;
44;DV231;cream;decimal;;
45;DV232;yogurt, soured milk;decimal;;
46;DV233;other dairy products;decimal;;
47;DV245;fresh cheese, curd;decimal;;
48;DV248;cheese;decimal;;
49;DV711;Wheat flour;decimal;;
50;DV715;Rice;decimal;;
51;DV731;Pasta;decimal;;
52;DV719;Products from other cereals;decimal;;
53;DV511;White bread;decimal;;
54;DV512;Brown bread;decimal;;
55;DV517;Other bread;decimal;;
56;DV515;Crisp bread;decimal;;
57;DV540;Fine bakery products;decimal;;
58;DV111;Beef;decimal;;
59;DV112;Veal;decimal;;
60;DV113;Pork meat;decimal;;
61;DV115;Sheep or goat meat;decimal;;
62;DV117;Game meat;decimal;;
63;DV119;other meat;decimal;;
64;DV120;Poultry meat;decimal;;
65;DV131;Minced meat;decimal;;
66;DV135;Animal offal;decimal;;
67;DV141;Sausage;decimal;;
68;DV145;Ham;decimal;;
69;DV147;Bacon;decimal;;
70;DV150;canned, frozen meat or meat products;decimal;;
71;DV160;other meat products;decimal;;
72;DV170;fish;decimal;;
73;DV180;canned fish;decimal;;
74;DV190;other fish products;decimal;;
75;DV250;fresh eggs;decimal;;
76;DV255;egg products;decimal;;
77;DV270;butter;decimal;;
78;DV291;margarine;decimal;;
79;DV293;vegetable edible oils;decimal;;
80;DV295;other edible oils;decimal;;
81;DV610;sugar;decimal;;
82;DV681;Honey;decimal;;
83;DV684;Jam;decimal;;
84;DV687;Other sweet spreads;decimal;;
85;DV620;cacao products;decimal;;
86;DV630;chocolate products;decimal;;
87;DV650;confectionary;decimal;;
88;DV670;all ice cream;decimal;;
89;DV570;long-life baked goods;decimal;;
90;DV810;fruit/vegetable juice;decimal;;
91;DV821;table water;decimal;;
92;DV825;caffeinated lemonade;decimal;;
93;DV829;other soft drinks;decimal;;
94;DV841;roasted coffee;decimal;;
95;DV845;coffee extracts;decimal;;
96;DV850;tea;decimal;;
97;DV860;spirits;decimal;;
98;DV870;beer;decimal;;
99;DV881;grape wine;decimal;;
100;DV885;grape sparkling wine;decimal;;
101;DV889;fruit wine;decimal;;
