index;name;label;valueType
1;ID;ID of the participant;text
2;GESCHL;sex;integer
3;KIALTER_15;Age at completion of 15-year questionnaire [years];integer
4;MUTBILD_0;highest education of the mother;integer
5;VATBILD_0;highest education of the father;integer
6;MUTBERU_0;highest job qualification of the mother;integer
7;VATBERU_0;highest job qualification of the father;integer
8;aktivleiisommn_15;Number of hours in a normal week (7 days) with light physical activity of the child (without sweating, normal breathing, e.g. walking) in summer [hours];decimal
9;aktivleiwintn_15;Number of hours in a normal week (7 days) with light physical activity of the child (without sweating, normal breathing, e.g. walking) in winter [hours];decimal
10;aktivmitsommn_15;Number of hours in a normal week (7 days) with moderate physical activity (a little sweating, slightly increased breathing e.g. cycling, swimming, skating) in summer [hours];decimal
11;aktivmitwintn_15;Number of hours in a normal week (7 days) with moderate physical activity (some sweating, slightly increased breathing e.g. cycling, swimming, skating) in winter [hours];decimal
12;aktivschsommn_15;Number of hours in a normal week (7 days) with heavy physical activity (a lot of sweating, rapid breathing, e.g. ball games, training) in summer [hours];decimal
13;aktivschwintn_15;Number of hours in a normal week (7 days) with heavy physical activity (a lot of sweating, rapid breathing, e.g. ball games, training) in winter [hours];decimal
14;K_FB_rauchkind_15;The participant currently smokes cigarettes;integer
15;UB_bmi_15;measured BMI;decimal
16;FFQGCAL_15;Energy intake (kilocalories) (kcal/day);decimal
17;FFQKARTO_15;Boiled potatoes in g/d;decimal
18;FFQPOMM_15;French fries, croquettes in g/d;decimal
19;FFQSALAT_15;Lettuce in g/d;decimal
20;FFQKOHL_15;Cabbage in g/d;decimal
21;FFQSPIN_15;Spinach, chard in g/d;decimal
22;FFQPAPR_15;Paprika intake in g/d;decimal
23;FFQKAROT_15;Carrots intake in g/d;decimal
24;FFQKERN_15;Pumpkin, pine, sunflower seeds in g/d;decimal
25;FFQAPFEL_15;Apple, pear in g/d;decimal
26;FFQBEERE_15;Soft fruit in g/d;decimal
27;FFQSUED_15;Tropical fruits in g/d;decimal
28;FFQNUSS_15;Nuts in g/d;decimal
29;FFQMIL_15;Milk in g/d;decimal
30;FFQMOLK_15;Buttermilk, whey in g/d;decimal
31;FFQKAKAO_15;Cocoa, mixed milk drinks in g/d;decimal
32;FFQJOGH_15;yoghurt, fruit yoghurt, fruit quark in g/d;decimal
33;FFQQUARK_15;cream cheese, quark in g/d;decimal
34;FFQWEICH_15;soft cheese in g/d;decimal
35;FFQPUDD_15;Semolina porridge, pudding, rice pudding in g/d;decimal
36;FFQSAHN_15;cream, creme fraiche in g/d;decimal
37;FFQHARTK_15;hard cheese in g/d;decimal
38;FFQNUD_15;pasta, noodles in g/d;decimal
39;FFQREIS_15;rice in g/d;decimal
40;FFQBROE_15;light roll, pretzel in g/d;decimal
41;FFQROGGEN_15;mixed rye, multi grain bread in g/d;decimal
42;FFQROSIN_15;milk roll, raisin roll in g/d;decimal
43;FFQTOAST_15;white bread, toast in g/d;decimal
44;FFQVOLLK_15;wholemeal bread, toast in g/d;decimal
