variable;name;label;missing
GESCHL;1;male;
GESCHL;2;female;
MUTBILD_0;1;No secondary school or elementary school certificate;
MUTBILD_0;2;Lower secondary school or elementary school certificate;
MUTBILD_0;3;Secondary school certificate (middle school leaving certificate);
MUTBILD_0;4;Completion of Polytechnic. high school;
MUTBILD_0;5;Advanced technical college entrance qualification;
MUTBILD_0;6;general or specialist university entrance qualification;
MUTBILD_0;7;other degree;
VATBILD_0;1;No secondary school or elementary school certificate;
VATBILD_0;2;Lower secondary school or elementary school certificate;
VATBILD_0;3;Secondary school certificate (middle school leaving certificate);
VATBILD_0;4;Completion of Polytechnic. high school;
VATBILD_0;5;Advanced technical college entrance qualification;
VATBILD_0;6;general or specialist university entrance qualification;
VATBILD_0;7;other degree;
mutberuztak3_15;1;fully employed (100%);
mutberuztak3_15;2;more than half day;
mutberuztak3_15;3;half day (50%);
mutberuztak3_15;4;less than half day;
mutberuztak3_15;5;not at all;
vatberuztak3_15;1;fully employed (100%);
vatberuztak3_15;2;more than half day;
vatberuztak3_15;3;half day (50%);
vatberuztak3_15;4;less than half day;
vatberuztak3_15;5;not at all;
NAT_VM;1;German;
NAT_VM;2;not German;
K_FB_rauchkind_15;1;no;
K_FB_rauchkind_15;2;yes, daily;
K_FB_rauchkind_15;3;yes, several times a week;
K_FB_rauchkind_15;4;yes, once a week;
K_FB_rauchkind_15;5;yes, less often;
FFQMULTI_15;1;regularly;
FFQMULTI_15;2;as needed;
maligjead_15;0;omitted;
maligjead_15;1;yes;
maligjead_15;2;no;
maligjead_15;3;not known;
diabmut_15;1;yes;
diabmut_15;2;no;
diabmut_15;3;don't know;
diabvat_15;1;yes;
diabvat_15;2;no;
diabvat_15;3;don't know;
