index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;ACTIVE_P2;id_dlw;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;ACTIVE_P2;sex;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;ACTIVE_P2;"gebdate; 
int_date";operation;"as.numeric(difftime(as.Date(int_date, format=""%d/%m/%Y""), as.Date(gebdate, format=""%d/%m/%Y""), units=""weeks"")) / 52.25";;complete;compatible
4;EDU_LEVEL;Education;integer;ACTIVE_P2;"schulab_corr;
berufab1;
berufab2;
berufab3;
berufab4;
berufab5;
berufab6;
berufab7;
berufab8;
berufab9;
berufab10;
berufab11;
berufab12";case_when;"case_when(
  berufab11 == 1 ~ 8,
  berufab10 == 1 ~ 7,
  berufab9 == 1 | berufab8 == 1 | berufab7 == 1 | berufab6 == 1 ~ 6,
  berufab4 == 1 ~ 4,
  berufab5 == 1 | berufab2 == 1 |schulab_corr %in% c(7:9) ~ 3,
  schulab_corr %in% c(3:6) ~ 2,
  schulab_corr == 1 ~ 1,
  berufab1 == 1 |berufab3 == 1 |berufab12 == 1 |schulab_corr %in% c(10,999,888) ~ 9
)";;complete;compatible
5;EMPLOY;Employment;integer;ACTIVE_P2;"erwerb;
situation";case_when;"case_when(
  erwerb == 1 ~ 1,
  erwerb %in% c(2,3,4,6) ~ 2,
  erwerb %in% c(5,10) ~ 5,
  erwerb %in% c(7,8) ~ 6,
  erwerb %in% c(9,999,888) ~ 7,
  erwerb == 11 & situation %in% c(1,2) ~ 6,
  erwerb == 11 & situation == 3 ~ 4,
  erwerb == 11 & situation == 4 ~ 5,
  erwerb == 11 & situation %in% c(5,7,999, 888) ~ 7,
  erwerb == 11 & situation == 6 ~ 3,
)";;complete;compatible
6;IMMIGRATION;Immigration background;integer;ACTIVE_P2;"stan_deu;
gebland1";case_when;"case_when(
    stan_deu == 1 & gebland1 == 1 ~ 0,
    TRUE ~ 1
  )";Persons are considered to have an immigration background if they were born abroad or do not hold German citizenship. Only those born in Germany and with German citizenship are classified as having no immigration background.;partial;proximate
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;ACTIVE_P2;TOT_PA_QX;operation;TOT_PA_QX/7;;complete;identical
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;ACTIVE_P2;"LPA_AC;MPA_AC;VPA_AC;";operation;"(
  1.5 *  LPA_AC +
  3 * MPA_AC +
  6 * VPA_AC
) /60";;complete;compatible
9;SMOKE_ST;Smoking status;integer;ACTIVE_P2;rauchstatus;recode;"recode(1 = 1; 2 = 3; 3 = 2; ELSE = NA)";;complete;compatible
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;ACTIVE_P2;"tobacco;
smoke_dur";operation;(tobacco/20)*smoke_dur;"tobacco derived from: rauch_zigzahl;rauch_zigperiod;exrauch_zigzahl;exrauch_zigperiod;exrauch_pipezahl;exrauch_pipeperiod
smoke_dur derived 
from:rauch_begjahr;rauch_begalter;exrauch_endalter;exrauch_endjahr1;exrauch_endjahr2;int_date; gebdate;";complete;compatible
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;ACTIVE_P2;"rauch_zigzahl;
rauch_zigperiod;
rauch_pipezahl;
rauch_pipeperiod

";other;"ifelse(
  is.na(rauch_zigzahl) & is.na(rauch_pipezahl), 
  NA,
  (ifelse(is.na(rauch_zigzahl) | is.na(rauch_zigperiod), 0, 
          rauch_zigzahl / ifelse(rauch_zigperiod == 1, 1, 
                                 ifelse(rauch_zigperiod == 2, 7, 30)) * 1)) +
  (ifelse(is.na(rauch_pipezahl) | is.na(rauch_pipeperiod), 0, 
          rauch_pipezahl / ifelse(rauch_pipeperiod == 1, 1, 
                                  ifelse(rauch_pipeperiod == 2, 7, 30)) * 5))
)";;complete;compatible
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;ACTIVE_P2;smoke_quit;direct_mapping;direct_mapping;;complete;identical
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
14;MENOPAUSE;Menopause status;integer;ACTIVE_P2;"wechseljahre;
zyk_rgm;
zykaus_1;
zykaus_2;
zykaus_3";case_when;"case_when(
    wechseljahre == 1 ~ 2,
    wechseljahre == 2 | zykaus_1 == 1 ~ 1,
    wechseljahre == 3 | zyk_rgm == 1 ~ 0,
    zykaus_2 == 1 | zykaus_3 == 1 ~ 3
  )";;complete;compatible
15;HRT;Hormone replacement therapy;integer;ACTIVE_P2;hormonersatz;recode;"recode(1=1;2=0;ELSE=NA)";;complete;compatible
16;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
17;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
18;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
19;TG;Triglycerides measured from blood samples [mmol/L];decimal;ACTIVE_P2;;undetermined;;Available upon request;;
20;CHOL;Total cholesterol measured from blood samples [mmol/L];decimal;ACTIVE_P2;TCHOL;direct_mapping;direct_mapping;;complete;identical
21;LDL;LDL cholesterol measured from blood samples [mmol/L];decimal;ACTIVE_P2;LDL;direct_mapping;direct_mapping;;complete;identical
22;HDL;HDL cholesterol measured from blood samples [mmol/L];decimal;ACTIVE_P2;HDL;direct_mapping;direct_mapping;;complete;identical
23;PREV_DIAB;History of diabetes;integer;ACTIVE_P2;"diab_diagnose_m;
diab_diagnose_f";case_when;"case_when(
  dataset$diab_diagnose_m ==1 | dataset$diab_diagnose_f %in% c(1:3) ~ 1,
  dataset$diab_diagnose_m ==2 | dataset$diab_diagnose_f == 4 ~ 0,
  TRUE ~ NA_integer_
)";;complete;compatible
24;PREV_HYP;History of hypertension;integer;ACTIVE_P2;bhd_diagnose;;"recode(1=1;2=0;ELSE=NA)";;complete;compatible
25;PREV_CVD;History of cardiovascular disease;integer;ACTIVE_P2;"hi_diagnose;
hkg_diagnose;
hschw_diagnose;
schlag_diagnose;
hrhyt_diagnose";case_when;"case_when(
  hi_diagnose == 1| hkg_diagnose == 1| hschw_diagnose == 1| schlag_diagnose == 1| hrhyt_diagnose == 1 ~ 1,
  hi_diagnose == 2| hkg_diagnose == 2| hschw_diagnose == 2| schlag_diagnose == 2| hrhyt_diagnose == 2 ~ 0,
  TRUE ~ NA_integer_
)";;complete;compatible
26;PREV_CANCER;History of cancer;integer;ACTIVE_P2;kre_diagnose;recode;"recode(1=1;2=0;ELSE=NA)";;complete;compatible
27;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
28;FAM1_DIAB2;First degree family history of T2D;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
29;FAM1_CANCER;First degree family history of cancer;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
30;DRE_SCREEN;Screening, DRE;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
31;PSA_SCREEN;Screening, PSA;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
32;FOBT_SCREEN;Screening, FOBT;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
33;COL_SCREEN;Screening, colonoscopy;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
34;MELANOMA_SCREEN;Screening, skin cancer;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
35;MAMMO_SCREEN;Screening, mammography;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
36;CERVICAL_SCREEN;Screening cervical, smear test;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
37;MED_STAT;Regular use of statins;integer;ACTIVE_P2;ebf_behandl;recode;"recode(1=1;2=0;ELSE=NA)";;partial;proximate
38;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
39;INC_CVD;CVD event during follow-up;integer;ACTIVE_P2;;impossible;impossible;;impossible;unavailable
