index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;CARLA_P2;ID;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;CARLA_P2;sex;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;CARLA_P2;age;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Education;integer;CARLA_P2;"school;occup_edu;occup_edu_2; occup_edu_h; educ; educ3";case_when;"case_when(
school %in% c(5,6)|occup_edu%in% c(7)|occup_edu_2  %in% c(7)|occup_edu_h%in% c(7)|educ %in% c(7)~ 7,                                                                                                                                               school%in% c(5,6)|occup_edu %in% c(6)|occup_edu_2  %in% c(6)|occup_edu_h%in% c(6)|educ%in% c(6)~ 6L,                                                                                                                                       school %in% c(5,6)|occup_edu%in% c(5)|occup_edu_2  %in% c(5)|occup_edu_h%in% c(5)|educ%in% c(5)~ 5L,                                                                                                                                 school %in% c(5,6)|occup_edu%in% c(4)|occup_edu_2 %in% c(4)|occup_edu_h%in% c(4)|educ%in% c(4)~ 4L,                                                                                                                         school %in% c(3,4)|occup_edu  %in% c(3)|occup_edu_2%in%c(3)|occup_edu_h%in% c(3)|educ %in% c(3)|educ3%in% c(3)~ 3L,                                                                                    school  %in% c(2)|occup_edu %in% c(2)|occup_edu_2 %in% c(2)|occup_edu_h%in% c(2)|educ %in% c(2)|educ3%in% c(2)~ 2L,                                                                                    school  %in% c(1)|occup_edu %in% c(1)|occup_edu_2 %in% c(1)|occup_edu_h%in% c(1)|educ %in% c(1)|educ3%in% c(1)~ 1L,                                       
school  %in% c(7)|occup_edu%in% c(8)|occup_edu_2  %in% c(8)|occup_edu_h%in% c(8)~ 9L,                                                                                                                                                                 TRUE ~ NA_integer_)";;complete;compatible
5;EMPLOY;Employment;integer;CARLA_P2;"work_status; employ";case_when;"case_when(
work_status == 1 ~ 0,                                                                                                    work_status == 2~ 1,                                                                                                       work_status == 3~ 5,                                                                                                             work_status == 4 ~ 6;
work_status== 5 | work_status == 6 ~ 7,
work_status == 7 ~ 9,
employ== 1 ~ 1,                                                                                                                            employ == 2 ~ 2,                                                                                                                              employ == 3 ~ 2,                                                                                                                    employ== 4 ~ 7, TRUE ~ NA_integer_)";;complete;compatible
6;IMMIGRATION;Immigration background;integer;CARLA_P2;birth_place;case_when;;;partial;tentative
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;CARLA_P2;met_we;operation;met_we/7;;complete;compatible
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;CARLA_P2;;impossible;impossible;;impossible;unavailable
9;SMOKE_ST;Smoking status;integer;CARLA_P2;smoker;recode;"recode(1= 3; 2 = 2; 3=1;)";;complete;compatible
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;CARLA_P2;packyear_tabacco;direct_mapping;direct_mapping;;complete;identical
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;CARLA_P2;cignr_day;operation;cignr_day*1;Amount of tobacco smoked currently per day, at time of diet assessment (conversion into grams: 1 cigarette = 1 gram of tobacco);partial;tentative
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;CARLA_P2;smokestop;direct_mapping;direct_mapping;;complete;identical
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;CARLA_P2;vit_min;direct_mapping;direct_mapping;;complete;identical
