index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;DONALD_P1;ID;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;DONALD_P1;sex;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;DONALD_P1;AGE_BASE;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Highest level of education [ISCED 2011];integer;DONALD_P1;"m_schulab;v_schulab;m_berufab;v_berufab;";case_when;"case_when(
  m_berufab == 5 | v_berufab == 5 ~ 7,
  m_berufab %in% c(3, 4) | v_berufab %in% c(3, 4) ~ 6,
  m_berufab %in% c(1, 2) | v_berufab %in% c(1, 2) ~ 5,
  m_schulab %in% c(3, 4) | v_schulab %in% c(3, 4) ~ 3,
  m_schulab %in% c(1, 2) | v_schulab %in% c(1, 2) ~ 2,
  TRUE ~ NA_real_
  )";parental data;partial;proximate
5;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;DONALD_P1;TOT_PA_QX;operation;TOT_PA_QX/7;;complete;compatible
6;SMOKE_ST;Smoking status;integer;DONALD_P1;SMOKE_ST_HH;direct_mapping;direct_mapping;Smoking in household;partial;proximate
7;BMI;Body Mass Index at baseline [kg/m²];decimal;DONALD_P1;BMI;direct_mapping;direct_mapping;;complete;identical
8;ENERGY;Energy intake [kcal/d];decimal;DONALD_P1;ENERGY;direct_mapping;direct_mapping;;complete;identical
9;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;DONALD_P1;POTATOES_TUB_01;direct_mapping;direct_mapping;;complete;compatible
10;POTATOES_0101;Potato intake [g/d];decimal;DONALD_P1;POTATOES_0101;direct_mapping;direct_mapping;;complete;compatible
11;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;DONALD_P1;OTHERTUB_0102;direct_mapping;direct_mapping;;complete;compatible
12;VEGETABLES_02;Vegetable intake [g/d];decimal;DONALD_P1;VEGETABLES_02;direct_mapping;direct_mapping;;complete;compatible
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;DONALD_P1;LEAFYVEG_0201;direct_mapping;direct_mapping;;complete;compatible
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;DONALD_P1;FRUITINGVEG_0202;direct_mapping;direct_mapping;;complete;compatible
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;DONALD_P1;ROOTVEG_0203;direct_mapping;direct_mapping;;complete;compatible
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;DONALD_P1;CABBAGE_0204;direct_mapping;direct_mapping;;complete;compatible
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal;DONALD_P1;MUSHROOMS_0205;direct_mapping;direct_mapping;;complete;compatible
18;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;DONALD_P1;GRAINPODVEG_0206;direct_mapping;direct_mapping;;complete;compatible
19;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;DONALD_P1;ONION_GARLIC_0207;direct_mapping;direct_mapping;;complete;compatible
20;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;DONALD_P1;STALKVEG_0208;direct_mapping;direct_mapping;;complete;compatible
21;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;DONALD_P1;MIXEDVEG_0209;direct_mapping;direct_mapping;;complete;compatible
22;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;DONALD_P1;LEGUMES_TOT_03;direct_mapping;direct_mapping;;complete;compatible
23;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;DONALD_P1;LEGUMES_0301;impossible;impossible;would be the same variable as LEGUMES_TOT_03;impossible;unavailable
24;FRUITS_TOT_04;Total fruit intake [g/d];decimal;DONALD_P1;FRUITS_TOT_04;direct_mapping;direct_mapping;;complete;compatible
25;FRUITS_0401;Intake of fresh fruits [g/d];decimal;DONALD_P1;FRUITS_0401;direct_mapping;direct_mapping;;complete;compatible
26;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;DONALD_P1;NUTS_SEEDS_0402;direct_mapping;direct_mapping;;complete;compatible
27;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;DONALD_P1;MIXEDFRUITS_0403;direct_mapping;direct_mapping;;complete;compatible
28;OLIVES_0404;Intake of olives [g/d];decimal;DONALD_P1;OLIVES_0404;direct_mapping;direct_mapping;;complete;compatible
29;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;DONALD_P1;DAIRY_05;direct_mapping;direct_mapping;;complete;compatible
30;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;DONALD_P1;MILK_0501;direct_mapping;direct_mapping;;complete;compatible
31;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;DONALD_P1;MILKBEV_0502;direct_mapping;direct_mapping;;complete;compatible
32;YOGURT_0503;Intake of fermented milk products [g/d];decimal;DONALD_P1;YOGURT_0503;direct_mapping;direct_mapping;;complete;compatible
33;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;DONALD_P1;CURD_0504;direct_mapping;direct_mapping;;complete;compatible
34;CHEESE_0505;Intake of cheese [g/d];decimal;DONALD_P1;CHEESE_0505;direct_mapping;direct_mapping;;complete;compatible
35;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal;DONALD_P1;DAIRYDESSERT_0506;direct_mapping;direct_mapping;;complete;compatible
36;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal;DONALD_P1;CREAM_PROD_0507;direct_mapping;direct_mapping;;complete;compatible
37;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal;DONALD_P1;DAIRYCREAM_050701;direct_mapping;direct_mapping;;complete;compatible
38;NONDAIRYCREAM_050702;Intake of imitation cream, non-dairy coffee creamers and dairy imitates other than milk [g/d];decimal;DONALD_P1;NONDAIRYCREAM_050702;direct_mapping;direct_mapping;;complete;compatible
39;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;DONALD_P1;MILK_FOR_COFFEE_0508;direct_mapping;direct_mapping;;complete;compatible
40;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;DONALD_P1;CEREAL_PROD_06;direct_mapping;direct_mapping;;complete;compatible
41;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;DONALD_P1;FLOUR_FLAKES_0601;direct_mapping;direct_mapping;;complete;compatible
42;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;DONALD_P1;PASTA_RICE_0602;direct_mapping;direct_mapping;;complete;compatible
