index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;DONALD_P2;ID;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;DONALD_P2;sex;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;DONALD_P2;AGE_BASE;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Highest level of education [ISCED 2011];integer;DONALD_P2;"m_schulab;v_schulab;m_berufab;v_berufab;";case_when;"case_when(
  m_berufab == 5 | v_berufab == 5 ~ 7,
  m_berufab %in% c(3, 4) | v_berufab %in% c(3, 4) ~ 6,
  m_berufab %in% c(1, 2) | v_berufab %in% c(1, 2) ~ 4,
  m_schulab %in% c(3, 4) | v_schulab %in% c(3, 4) ~ 3,
  m_schulab %in% c(1, 2) | v_schulab %in% c(1, 2) ~ 2,
  m_schulab == 5 | v_schulab == 5 | m_berufab %in% c(6, 7, 8)| v_berufab %in% c(6, 7, 8) ~ 9,
  TRUE ~ NA_real_
)";parental data;partial;proximate
5;EMPLOY;Employment;integer;DONALD_P2;EMPLOY_P;direct_mapping;direct_mapping;parental data;partial;proximate
6;IMMIGRATION;Immigration background;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;DONALD_P2;TOT_PA_QX;operation;TOT_PA_QX/7;;complete;compatible
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;DONALD_P2;;impossible;impossible;;impossible;unavailable
9;SMOKE_ST;Smoking status;integer;DONALD_P2;SMOKE_ST_HH;recode;"recode(1=3;0=1;)";Smoking in household;partial;proximate
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;DONALD_P2;;impossible;impossible;;impossible;unavailable
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;DONALD_P2;;impossible;impossible;;impossible;unavailable
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;DONALD_P2;;impossible;impossible;;impossible;unavailable
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
14;MENOPAUSE;Menopause status;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
15;HRT;Hormone replacement therapy;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
16;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
17;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
18;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;DONALD_P2;;impossible;impossible;;impossible;unavailable
19;TG;Triglycerides measured from blood samples [mmol/L];decimal;DONALD_P2;TG;operation;TG * 0.0113;;complete;compatible
20;CHOL;Total cholesterol measured from blood samples [mmol/L];decimal;DONALD_P2;CHOL;operation;CHOL * 0.0259;;complete;compatible
21;LDL;LDL cholesterol measured from blood samples [mmol/L];decimal;DONALD_P2;LDL;operation;LDL * 0.0259;;complete;compatible
22;HDL;HDL cholesterol measured from blood samples [mmol/L];decimal;DONALD_P2;HDL;operation;HDL * 0.0259;;complete;compatible
23;PREV_DIAB;History of diabetes;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
24;PREV_HYP;History of hypertension;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
25;PREV_CVD;History of cardiovascular disease;integer;DONALD_P2;;impossible;impossible;;impossible;unavailable
