index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;variable_ID;;text;EPICP_P1;id;id_creation;id_creation;complete;complete;identical
2;POTATOES_TUB_01;;num;EPICP_P1;"GROUP
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 01;complete;compatible
3;POTATOES_0101;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 01 und subgroup1= 01;complete;compatible
4;OTHERTUB_0102;;num;EPICP_P1;;;;;impossible;unavailable
5;VEGETABLES_02;;num;EPICP_P1;"GROUP
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02;complete;compatible
6;LEAFYVEG_0201;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 01;complete;compatible
7;FRUITINGVEG_0202;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 02;complete;compatible
8;ROOTVEG_0203;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 03;complete;compatible
9;CABBAGE_0204;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 04;complete;compatible
10;MUSHROOMS_0205;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 05;complete;compatible
11;GRAINPODVEG_0206;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 06;complete;compatible
12;ONION_GARLIC_0207;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 07;complete;compatible
13;STALKVEG_0208;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 08;complete;compatible
14;MIXEDVEG_0209;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 02 und subgroup1= 09;complete;compatible
15;LEGUMES_TOT_03;;num;EPICP_P1;"GROUP
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 03;complete;compatible
16;LEGUMES_0301;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 03 und subgroup1= 01;complete;compatible
17;FRUITS_TOT_04;;num;EPICP_P1;"GROUP
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 04;complete;compatible
18;FRUITS_0401;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 04 und subgroup1= 01;complete;compatible
19;NUTS_SEEDS_0402;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 04 und subgroup1= 02;complete;compatible
20;MIXEDFRUITS_0403;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 04 und subgroup1= 03;complete;compatible
21;OLIVES_0404;;num;EPICP_P1;;;;;impossible;unavailable
22;DAIRY_05;;num;EPICP_P1;"GROUP
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05;complete;compatible
23;MILK_0501;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 01;complete;compatible
24;MILKBEV_0502;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 02;complete;compatible
25;YOGURT_0503;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 03;complete;compatible
26;CURD_0504;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 04;complete;compatible
27;CHEESE_0505;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 05;complete;compatible
28;DAIRYDESSERT_0506;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 06;complete;compatible
29;CREAM_PROD_0507;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 07;complete;compatible
30;DAIRYCREAM_050701;;num;EPICP_P1;"GROUP
subgroup1
subgroup2
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 07 und subgroup2=01;complete;compatible
31;NONDAIRYCREAM_050702;;num;EPICP_P1;;;;;impossible;unavailable
32;MILK_FOR_COFFEE_0508;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 05 und subgroup1= 08;complete;compatible
33;CEREAL_PROD_06;;num;EPICP_P1;"GROUP
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06;complete;compatible
34;FLOUR_FLAKES_0601;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 01;complete;compatible
35;PASTA_RICE_0602;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 02;complete;compatible
36;BREAD_PROD_0603;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 03;complete;compatible
37;BREAD_060301;;num;EPICP_P1;"GROUP
subgroup1
subgroup2
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 03 und subgroup2=01;complete;compatible
38;CRISPBREAD_060302;;num;EPICP_P1;"GROUP
subgroup1
subgroup2
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 03 und subgroup2=02;complete;compatible
39;BREAKF_CEREALS_0604;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 04;complete;compatible
40;SALT_BISCUIT_0605;;num;EPICP_P1;"GROUP
subgroup1
quant_grp17";operation/other;;Summe von quant_grp17, wo GROUP = 06 und subgroup1= 05;complete;compatible
