index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;EPICP_P2;ident;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;EPICP_P2;SEX;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;EPICP_P2;age0;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Highest level of education [ISCED 2011];integer;EPICP_P2;"educc7;abschlus";case_when;"case_when(
educc7 %in% c(7) ~ 7L,
educc7 %in% c(5,6) ~ 6L,
educc7 %in% c(3,4) ~ 4L,
abschlus %in% c(3,4) ~ 3L,
abschlus %in% c(1,2) ~ 2L,
abschlus %in% c(5) ~ 0L,
TRUE ~ NA_integer_)";;complete;compatible
5;EMPLOY;Employment;integer;EPICP_P2;occstat6;recode;"recode(1=1; 2=2; 3=7; 4=7; 5=4; 6=5)";;complete;compatible
6;IMMIGRATION;Immigration background;integer;EPICP_P2;impossible;impossible;impossible;;impossible;unavailable
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;EPICP_P2;pal;direct_mapping;direct_mapping;;complete;identical
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;EPICP_P2;impossible;impossible;impossible;;impossible;unavailable
9;SMOKE_ST;Smoking status;integer;EPICP_P2;smkst0i;direct_mapping;direct_mapping;;complete;identical
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;EPICP_P2;impossible;impossible;impossible;;impossible;unavailable
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;EPICP_P2;"zt3;zr3;pf3";operation;"ifelse(is.na(zt3),
                      ifelse(is.na(zr3), 
                             ifelse(is.na(pf3),0,pf3*5),
                             ifelse(is.na(pf3),zr3*5,zr3*5+pf3*5)),
                      ifelse(is.na(zr3),
                             ifelse(is.na(pf3),zt3*1,zt3*1+pf3*5),
                             ifelse(is.na(pf3),zt3*1+zr3*5, zt3*1+ zr3*5 + pf3*5)))";;complete;compatible
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;EPICP_P2;"age0;d_recrui;ysmkces0";operation;"age0 + (as.numeric(as.Date(paste0(ysmkces0, ""-06-30"")))-as.numeric(d_recrui))/365.25";;complete;compatible
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;EPICP_P2;vitamin;direct_mapping;direct_mapping;;complete;identical
14;MENOPAUSE;Menopause status;integer;EPICP_P2;radmeno;recode;"recode(0=3; 1=0; 2=1; 9=NA)";no distinction between pre- and perimenopausal possible, hence this was mapped to premenopausal category in harmonized variable;partial;proximate
15;HRT;Hormone replacement therapy;integer;EPICP_P2;horheute;direct_mapping;direct_mapping;;complete;identical
16;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;EPICP_P2;zeitraum;direct_mapping;direct_mapping;;complete;identical
