index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;GINI_P1;ID;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;GINI_P1;GESCHL;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;GINI_P1;KIALTER_15;direct_mapping;direct_mapping;compatible, because it is integer and we want decimal;complete;compatible
4;EDU_LEVEL;Education;integer;GINI_P1;"gsc09m; gsc08v; MUTBERU_3; VATBERU_3";case_when;"case_when(
  MUTBERU_3 %in% c(7) | VATBERU_3 %in% c(7) ~ 7L,
  MUTBERU_3 %in% c(5,6) | VATBERU_3 %in% c(5,6) ~ 6L,
  MUTBERU_3 %in% c(3,4) |VATBERU_3 %in% c(3,4) ~ 4L,
  MUTBERU_3 %in% c(8) |VATBERU_3 %in% c(8) ~ 9L,
  gsc09m %in% c(3) | gsc08v %in% c(3) ~ 3L,
  gsc09m %in% c(1,2) | gsc08v %in% c(1,2) ~ 2L,
  gsc09m %in% c(6) & gsc08v %in% c(6) ~ 0L,
  is.na(gsc09m) & gsc08v %in% c(6) ~ 0L,
  gsc09m %in% c(6) & is.na(gsc08v) ~ 0L,
  gsc09m %in% c(5) | gsc08v %in% c(5) ~ 9L,
  TRUE ~ NA_integer_)";Education according to the ISCED 2011 classification;partial;proximate
5;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;GINI_P1;"aktivleiisommn_15;aktivleiwintn_15;aktivmitsommn_15;aktivmitwintn_15;aktivschsommn_15;aktivschwintn_15";operation;"(
  1.5 * ((aktivleiisommn_15 + aktivleiwintn_15) / 2) +
  3 * ((aktivmitsommn_15 + aktivmitwintn_15) / 2) +
  6 * ((aktivschsommn_15 + aktivschwintn_15) / 2)
) / 7";(1.5(average mean of light activities)+ 3(average mean of moderate actvities)+6(average mean of heavy activities)/7;complete;compatible
6;SMOKE_ST;Smoking status;integer;GINI_P1;K_FB_rauchkind_15;recode;"recode(1= 1; 2 = 3; 3=3; 4 = 3; 5=3)";"""no"" most certainly means ""never"" in this young age";partial;proximate
7;BMI;Body Mass Index at baseline [kg/m²];decimal;GINI_P1;UB_bmi_15;direct_mapping;direct_mapping;;complete;identical
8;ENERGY;Energy intake [kcal/d];decimal;GINI_P1;FFQGCAL_15;direct_mapping;direct_mapping;;complete;identical
9;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;GINI_P1;"FFQKARTO_15; 
FFQPOMM_15";operation;"FFQKARTO_15 + 
FFQPOMM_15";"in this case, this combined group only consists of potatoes and no other tubers, thats why the harmopotential is set to ""partial""";partial;tentative
10;POTATOES_0101;Potato intake [g/d];decimal;GINI_P1;"FFQKARTO_15; 
FFQPOMM_15";operation;"FFQKARTO_15 + 
FFQPOMM_15";;complete;compatible
11;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
12;VEGETABLES_02;Vegetable intake [g/d];decimal;GINI_P1;"FFQSALAT_15;
FFQKOHL_15;
FFQSPIN_15;
FFQPAPR_15; 
FFQKAROT_15";operation;"FFQSALAT_15 +
FFQKOHL_15 +
FFQSPIN_15 +
FFQPAPR_15 +
FFQKAROT_15";;complete;compatible
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;GINI_P1;"FFQSALAT_15;
FFQSPIN_15";operation;"FFQSALAT_15
+ FFQSPIN_15";;complete;compatible
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;GINI_P1;FFQPAPR_15;direct_mapping;direct_mapping;;complete;identical
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;GINI_P1;FFQKAROT_15;direct_mapping;direct_mapping;;complete;identical
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;GINI_P1;FFQKOHL_15;direct_mapping;direct_mapping;;complete;identical
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
