index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;GINI_P2;ID;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;GINI_P2;GESCHL;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;GINI_P2;KIALTER_15;direct_mapping;direct_mapping;;complete;compatible
4;EDU_LEVEL;Education;integer;GINI_P2;"gsc09m; gsc08v";case_when;"case_when(
      is.na(gsc09m) & is.na(gsc08v) ~ 5L,
      gsc09m == 5 & !is.na(gsc08v) ~ case_when(
        gsc08v == 6 ~ 0L,
        gsc08v == 1 ~ 1L,
        gsc08v == 2 ~ 2L,
        gsc08v == 3 ~ 3L,
        gsc08v >= 4 ~ 4L
      ),
      gsc08v == 5 & !is.na(gsc09m) ~ case_when(
        gsc09m == 6 ~ 0L,
        gsc09m == 1 ~ 1L,
        gsc09m == 2 ~ 2L,
        gsc09m == 3 ~ 3L,
        gsc09m >= 4 ~ 4L
      ),
      gsc09m == 5 & gsc08v == 5 ~ 5L,
      is.na(gsc09m) & gsc08v == 6 ~ 0L,
      is.na(gsc09m) & gsc08v == 1 ~ 1L,
      is.na(gsc09m) & gsc08v == 2 ~ 2L,
      is.na(gsc09m) & gsc08v == 3 ~ 3L,
      is.na(gsc09m) & gsc08v >= 4 ~ 4L,
      is.na(gsc08v) & gsc09m == 6 ~ 0L,
      is.na(gsc08v) & gsc09m == 1 ~ 1L,
      is.na(gsc08v) & gsc09m == 2 ~ 2L,
      is.na(gsc08v) & gsc09m == 3 ~ 3L,
      is.na(gsc08v) & gsc09m >= 4 ~ 4L,
      pmax(gsc09m, gsc08v, na.rm = TRUE) == 6 ~ 0L,
      pmax(gsc09m, gsc08v, na.rm = TRUE) == 1 ~ 1L,
      pmax(gsc09m, gsc08v, na.rm = TRUE) == 2 ~ 2L,
      pmax(gsc09m, gsc08v, na.rm = TRUE) == 3 ~ 3L,
      pmax(gsc09m, gsc08v, na.rm = TRUE) >= 4 ~ 4L,
      TRUE ~ NA_integer_
    )";"If both gsc09m (mother) and gsc08v (father) are NA, assign 5L (""not specified"").
If one parent has ""other degree"" (5) and the other parent has a valid level, use the valid level.
If both have ""other degree"" (5), assign 5L.
If one parent is NA, use the other parent’s value and map it directly.
Both Present: Use the maximum value between the two parents (pmax), then map it to the appropriate category.
Default: Assign NA_integer_ for unexpected cases (should not occur).";partial;proximate
5;EMPLOY;Employment;integer;GINI_P2;"mutberuztak3_15; vatberuztak3_15";case_when;"case_when (
      mutberuztak3_15 == 1 | vatberuztak3_15 == 1 ~ 1L,
      mutberuztak3_15 %in% 2:4 | vatberuztak3_15 %in% 2:4 ~ 2L,  
      mutberuztak3_15 == 5 & vatberuztak3_15 == 5 ~ 5L,
      is.na(mutberuztak3_15) & vatberuztak3_15 == 5 ~ 5L,
      is.na(vatberuztak3_15) & mutberuztak3_15 == 5 ~ 5L,
      is.na(mutberuztak3_15) & is.na(vatberuztak3_15) ~ 7L,
      TRUE ~ NA_integer_
    )";"
If either parent is ""fully employed (100%),"" assign 1L.
If either parent works ""more than half day,"" ""half day,"" or ""less than half day,""  assign 2L.
If both parents are ""not at all employed,"" assign 5L.
If one parent's status is NA, use the other parent's status to determine the category.
If both are NA, assign 7L (""other"").";partial;proximate
6;IMMIGRATION;Immigration background;integer;GINI_P2;NAT_VM;recode;"recode(1 = 0; 2= 1)";"NAT_VM == 1 becomes 0 (no immigration background).
NAT_VM == 2 becomes 1 (yes, immigration background).";partial;proximate
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;GINI_P2;"aktivleiisommn_15;
aktivleiwintn_15;
aktivmitsommn_15;
aktivmitwintn_15;
aktivschsommn_15;
aktivschwintn_15";operation;(1.5 * ((aktivleiisommn_15 + aktivleiwintn_15) / 2) + 3 * ((aktivmitsommn_15 + aktivmitwintn_15) / 2) + 6 * ((aktivschsommn_15 + aktivschwintn_15) / 2)) / 7;;complete;compatible
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;GINI_P2;;impossible;impossible;;impossible;unavailable
9;SMOKE_ST;Smoking status;integer;GINI_P2;K_FB_rauchkind_15;recode;"recode(1= 1; 2 = 3; 3=3; 4 = 3; 5=3)";;partial;proximate
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;GINI_P2;;impossible;impossible;;impossible;unavailable
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;GINI_P2;;impossible;impossible;;impossible;unavailable
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;GINI_P2;;impossible;impossible;;impossible;unavailable
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;GINI_P2;FFQMULTI_15;recode;"recode(1= 1; 2=0)";as needed is considered not regular use in the categories;complete;compatible
