index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;IDEFICS_P1;ID;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;IDEFICS_P1;sex_child;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;IDEFICS_P1;age;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Education;integer;IDEFICS_P1;isced_max;recode;"recode(0=0;1=1;2=2;3=3;4=4;5=5;6=7;)";;complete;compatible
5;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;IDEFICS_P1;"phys_activ;leis_activ";operation;(4 * phys_activ + 1.5 * leis_activ) / 7;;complete;compatible
6;SMOKE_ST;Smoking status;integer;IDEFICS_P1;;impossible;impossible;;impossible;unavailable
7;BMI;Body Mass Index at baseline [kg/m²];decimal;IDEFICS_P1;bmi;direct_mapping;direct_mapping;;complete;identical
8;ENERGY;Energy intake [kcal/d];decimal;IDEFICS_P1;"energy_kcal (foodcoll_calc_alldays_bls)
energy_kcal_day (Core)";direct_mapping;direct_mapping;;complete;identical
9;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;IDEFICS_P1;D19;direct_mapping;direct_mapping;"SACANA FGS D19 ""Potatoes and other starchy vegetables""";complete;identical
10;POTATOES_0101;Potato intake [g/d];decimal;IDEFICS_P1;"D19a; D19b;L47";operation;D19a + D19b + (weighting*L47);"SACANA FGS D19a "" Potatoes cooked (not deep fried) "" + SACANA FGS 19b "" Potatoes cooked (deep fried) "" + (Gewichtung* SACANA FGS L47 ""Based on potatoes"")";complete;compatible
11;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
12;VEGETABLES_02;Vegetable intake [g/d];decimal;IDEFICS_P1;D18;direct_mapping;direct_mapping;SACANA FGS D18 vegetables n.s.;complete;identical
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
18;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
19;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
20;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
21;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;IDEFICS_P1;L44c;direct_mapping;direct_mapping;"SACANA FGS L44c ""Mixed salad""";complete;identical
22;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;IDEFICS_P1;"D17;L44;L46a";operation;D17 + (weighting *L44) + (weighting*L46a);"SACANA FGS D17 Pulses n.s. + (Gewichtung*L44 ""Legumes/Vegs n.s."") + (Gewichtung*L46a ""Fish and vegetables/legumes"")";complete;compatible
23;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
24;FRUITS_TOT_04;Total fruit intake [g/d];decimal;IDEFICS_P1;D20;direct_mapping;direct_mapping;"SACANA FGS D20 ""Fruits n.s.""";complete;identical
25;FRUITS_0401;Intake of fresh fruits [g/d];decimal;IDEFICS_P1;D20a;direct_mapping;direct_mapping;"SACANA FGS D20a ""Fresh fruits""";complete;identical
26;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;IDEFICS_P1;D16a;direct_mapping;direct_mapping;"SACANA FGS D16a ""Nuts and seeds""";complete;identical
27;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
28;OLIVES_0404;Intake of olives [g/d];decimal;IDEFICS_P1;D16b;operation;Weighting*D16b;"SACANA FGS D16b ""Olives and avocados"" (Gewichtung für Oliven?)";partial;tentative
29;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;IDEFICS_P1;J;direct_mapping;direct_mapping;"SACANA FGS J ""Dairy and similar""";complete;identical
30;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;IDEFICS_P1;"J37a;J37b";operation;J37a + J37b;"SACANA FGS J37a ""Milk plain whole"" + SACANA FGS J37b ""Milk plain reduced fat""";complete;compatible
31;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;IDEFICS_P1;J37c;direct_mapping;direct_mapping;"SACANA FGS J37c ""Chocolate milk, vanilla milk and sim""";complete;identical
32;YOGURT_0503;Intake of fermented milk products [g/d];decimal;IDEFICS_P1;"J37d;J37e;J37f;J37g";operation;J37d+J37e+J37f+J37g;"SACANA FGS J37d ""Yogurt, probiotic and other fermented milk unsweened, full fat"" + SACANA FGS J37e ""Yogurt, probiotic and other fermented milk unsweened, low fat"" + SACANA FGS J37f ""Sweet Yogurt, probiotic and other fermented milk , full fat"" + SACANA FGS J37g ""Sweet Yogurt, probiotic and other fermented milk, low fat""";complete;compatible
33;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;IDEFICS_P1;J38a;operation;weighting*J38a;"SACANA FGS J38a ""Cheese low fat and curd (unsweetened)"" (Gewichtung für Curd?)";partial;tentative
34;CHEESE_0505;Intake of cheese [g/d];decimal;IDEFICS_P1;J38;direct_mapping;direct_mapping;"SACANA FGS J38 ""Cheese n.s.""";complete;identical
35;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal;IDEFICS_P1;"J39a;J38c";operation;J39a + J38c;"SACANA FGS J39a ""milk based ice-creams, desserts, (chocolate) pudding"" + SACANA FGS J38c ""Sweetened cheese and curd""";complete;compatible
36;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal;IDEFICS_P1;"J39c;K40b";operation;J39c + K40b;"SACANA FGS J39c ""cream"" + SACANA FGS K40b ""Vegetal milk (soymilk, rice milk etc.)""";complete;compatible
37;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal;IDEFICS_P1;J39c;direct_mapping;direct_mapping;"SACANA FGS J39c ""cream""";complete;identical
38;NONDAIRYCREAM_050702;Intake of imitation cream, non-dairy coffee creamers and dairy imitates other than milk [g/d];decimal;IDEFICS_P1;K40b;direct_mapping;direct_mapping;"SACANA FGS K40b ""Vegetal milk (soymilk, rice milk etc.)""";complete;identical
39;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
40;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;IDEFICS_P1;"A;L43;L45c";operation;A + L43 + (weighting*L45c);"SACANA FGS A "" Cereals and cereal products and starchy snacks ns"" + SACANA FGS L43 ""Based on Cereals ns"" + (Gewichtung*SACANA FGS L45c ""with vegs/potatoes/cereals"")";complete;compatible
41;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
42;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;IDEFICS_P1;"A04;A05;L43a;L43b";operation;A04 + A05 +(weighting*L43a) + (weighting*L43b);"SACANA FGS A04 ""Pasta (any kind)"" + SACANA FGS A05 "" rice and other cereal grains (not ready to eat) - ns"" + (Gewichtung*SACANA FGS L43a ""Pasta/rice/cereals + meat/fish/eggs/cheese"") + (Gewichtung*SACANA FGS L43b ""Pasta/rice/cereals + legumes /vegetables/potatoes"")";complete;compatible
43;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;IDEFICS_P1;A01;direct_mapping;direct_mapping;"SACANA FGS A01 ""bread,rolls and sim. ns""";complete;identical
44;BREAD_060301;Intake of bread [g/d];decimal;IDEFICS_P1;"A01a;A01b";operation;(A01a + A01b) * weighting;"SACANA FGS A01a "" bread, crispbread, rusks, roll (refined, fiber <5%)"" + SACANA FGS A01b ""bread, crispbread, rusks, roll (wholemeal fiber>5%)"" (Gewichtung?)";complete;compatible
45;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;IDEFICS_P1;"A01a;A01b";operation;(A01a + A01b) * weighting;"SACANA FGS A01a "" bread, crispbread, rusks, roll (refined, fiber <5%)"" + SACANA FGS A01b ""bread, crispbread, rusks, roll (wholemeal fiber>5%)"" (Gewichtung?)";complete;compatible
46;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;IDEFICS_P1;A02;direct_mapping;direct_mapping;"SACANA FGS A02 ""breakfast cereals, corn flakes, muesli ns""";complete;identical
47;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
48;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
49;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;IDEFICS_P1;"G;L42;L45b";operation;G + L42 + (weighting* L45b);"SACANA FGS G ""Meat and meat products"" + SACANA FGS L42 ""based on meat"" + (Gewichtung* SACANA FGS L45b ""with meat/fish"")";complete;compatible
50;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;IDEFICS_P1;G29;direct_mapping;direct_mapping;"SACANA FGS G29 ""meat (other than poultry)-ns""";complete;identical
51;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
52;VEAL_070102;Intake of calf fresh meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
53;PORK_070103;Intake of pig fresh meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
54;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
55;HORSE_070105;Intake of horse meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
56;GOAT_070106;Intake of goat meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
57;POULTRY_0702;Intake of poultry meat [g/d];decimal;IDEFICS_P1;G30;direct_mapping;direct_mapping;"SACANA FGS G30 ""poultry-ns""";complete;identical
58;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
59;CHICKEN_070201;Intake of chicken meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
60;TURKEY_070202;Intake of turkey meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
61;DUCK_070203;Intake of duck meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
62;GOOSE_070204;Intake of goose meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
63;RABBIT_070205;Intake of rabbit meat [g/d];decimal;IDEFICS_P1;G31;operation;weighting*G31;"SACANA FGS G31 ""rabbit and game"" (Gewichtung?)";partial;tentative
64;GAME_0703;Intake of game [g/d];decimal;IDEFICS_P1;G31;operation;weighting*G32;"SACANA FGS G31 ""rabbit and game"" (Gewichtung?)";partial;tentative
65;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;IDEFICS_P1;G33;direct_mapping;direct_mapping;"SACANA FGS G33 "" Processed meat,salami, processed poultry products , meat salad- ns""";complete;identical
66;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;IDEFICS_P1;G32;direct_mapping;direct_mapping;"SACANA FGS G32 ""Offals""";complete;identical
67;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;IDEFICS_P1;"H;L45b;L46";operation;H + (weighting*L45b) + (weighting*L46);"SACANA FGS H""Finfish, shelfish and their products"" + (Gewichtung*SACANA FGS L45b ""with meat/fish"") + (Gewichtung*SACANA FGS L46 ""Based on fish"")";complete;compatible
68;FISH_0801;Intake of fish (meat) [g/d];decimal;IDEFICS_P1;H34;operation;weighting*H34;"SACANA FGS H34 ""Fish and seafood"" (Gewichtung?)";partial;tentative
69;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;IDEFICS_P1;H34;operation;weighting*H34;"SACANA FGS H34 ""Fish and seafood"" (Gewichtung?)";partial;tentative
70;FISH_PROD_0803;Intake of processed fish [g/d];decimal;IDEFICS_P1;H35;direct_mapping;direct_mapping;"SACANA FGS H35 ""Processed fish products""";complete;identical
71;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;IDEFICS_P1;"I;L45";operation;I+ (weighting*L45);"SACANA FGS I ""Eggs"" + (Gewichtung*L45 ""based on eggs"")";complete;compatible
72;EGGS_0901;Intake of eggs [g/d];decimal;IDEFICS_P1;I;direct_mapping;direct_mapping;"SACANA FGS I ""Eggs""";complete;identical
73;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;IDEFICS_P1;"C12;C13;C14";operation;C12 + C13 + C14;"SACANA FGS C12 ""vegetable oils ns"" + SACANA FGS C13 ""margarines and lipids of mixed origin"" + SACANA FGS C14 ""butter and animal fats""";complete;compatible
74;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;IDEFICS_P1;C12;direct_mapping;direct_mapping;"SACANA FGS C12 ""vegetable oils ns""";complete;identical
75;BUTTER_1002;Intake of butter [g/d];decimal;IDEFICS_P1;C14;operation;weighting*C14;"SACANA FGS C14 ""butter and animal fats"" (Gewichtung für Butter?)";partial;tentative
76;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;IDEFICS_P1;C13;direct_mapping;direct_mapping;"SACANA FGS C13 ""margarines and lipids of mixed origin""";complete;identical
77;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
78;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
79;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;IDEFICS_P1;C14;operation;weighting*C14;"SACANA FGS C14 ""butter and animal fats"" (Gewichtung für animal fat?)";partial;tentative
80;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;IDEFICS_P1;B;direct_mapping;direct_mapping;"SACANA FGS B ""Sugar and sugar products""";complete;identical
81;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;IDEFICS_P1;B08;direct_mapping;direct_mapping;"SACANA FGS B08 ""Sugar, honey, jam and sweet sauces or dessert sauces """;complete;identical
82;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;IDEFICS_P1;B10;direct_mapping;direct_mapping;"SACANA FGS B10 ""Chocolate ns""";complete;identical
83;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;IDEFICS_P1;B09;direct_mapping;direct_mapping;"SACANA FGS B09 ""Confectionery (non chocolate)""";complete;identical
84;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
85;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
86;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;IDEFICS_P1;J39a;operation;weighting*J39a;"SACANA FGS J39a ""milk based ice-creams, desserts, (chocolate) pudding"" (Gewichtung für Milcheis?)";partial;tentative
87;SORBET_110502;Sorbet intake [g/d];decimal;IDEFICS_P1;B11b;operation;weighting*B11b;"SACANA FGS B11b ""water ice, sorbet (excluding ice cream)"" (Gewichtung für Sorbet?)";partial;tentative
88;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;IDEFICS_P1;B11b;operation;weighting*B11b;"SACANA FGS B11b ""water ice, sorbet (excluding ice cream)"" (Gewichtung für Wassereis?)";partial;tentative
89;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;IDEFICS_P1;A06;direct_mapping;direct_mapping;"SACANA FGS A06 "" Sweet bakery, biscuits, pies (sweet), cakes , sweet fritters and other confectionery""";complete;identical
90;VARPASTRY_1201;Intake of various pastry [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
91;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
92;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;IDEFICS_P1;"E22;E23;E24;E25";operation;E22 + E23 + E24 + E25;"SACANA FGS E22 ""water"" + SACANA FGS E23 ""coffee, tea, coffee surrogate, decafe, herbal - ns"" + SACANA FGS E24 ""fruit, vegetable juices and smoothies - ns"" + SACANA FGS E25 ""Soft and sweetened drinks""";complete;compatible
93;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;IDEFICS_P1;E24;direct_mapping;direct_mapping;"SACANA FGS E24 ""fruit, vegetable juices and smoothies - ns""";complete;identical
