index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;KARMEN_P1;id;id_creation;id_creation;complete;complete;identical
2;SEX;Sex;integer;KARMEN_P1;Geschlecht;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;KARMEN_P1;Alter_BE;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Education;integer;KARMEN_P1;impossible;impossible;impossible;unavailable;impossible;unavailable
5;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;KARMEN_P1;IPAQ_MET_Total;operation;(IPAQ_MET_Total*60)/7;MET-min/week;compatible;proximate
6;SMOKE_ST;Smoking status;integer;KARMEN_P1;impossible;impossible;impossible;unavailable;impossible;unavailable
7;BMI;Body Mass Index at baseline [kg/m²];decimal;KARMEN_P1;BMI;direct_mapping;complete;;complete;identical
8;ENERGY;Energy intake [kcal/d];decimal;KARMEN_P1;kcal_zb_tag_NCI;direct_mapping;complete;;complete;identical
9;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;KARMEN_P1;Kart_sum_NCI;direct_mapping;direct_mapping;in this case, this combined group only consists of potatoes and no other tubers;partial;tentative
10;POTATOES_0101;Potato intake [g/d];decimal;KARMEN_P1;Kart_sum_NCI;direct_mapping;direct_mapping;;complete;identical
11;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
12;VEGETABLES_02;Vegetable intake [g/d];decimal;KARMEN_P1;Gem02_1;direct_mapping;direct_mapping;;complete;identical
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal;KARMEN_P1;Gem02_2;direct_mapping;direct_mapping;;complete;identical
18;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
19;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
20;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
21;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
22;LEGUMES_TOT_03;Total legumes intake [g/d];decimal;KARMEN_P1;Gem02_Hu;direct_mapping;direct_mapping;;complete;identical
23;LEGUMES_0301;Intake fresh seeds (without pod) from legumes (beans, peas etc.) [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
24;FRUITS_TOT_04;Total fruit intake [g/d];decimal;KARMEN_P1;Obst_sum;direct_mapping;direct_mapping;;complete;identical
25;FRUITS_0401;Intake of fresh fruits [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
26;NUTS_SEEDS_0402;Intake of tree nuts and seeds [g/d];decimal;KARMEN_P1;Nusa_sum;direct_mapping;direct_mapping;;complete;identical
27;MIXEDFRUITS_0403;Intake of candied fruit/mixed fruit, canned, jarred mixed fruit and miscellaneous fruits [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
28;OLIVES_0404;Intake of olives [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
29;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;KARMEN_P1;Milc_sum;direct_mapping;direct_mapping;;complete;identical
