index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;KARMEN_P2;id;id_creation;id_creation;complete;complete;identical
2;SEX;Sex;integer;KARMEN_P2;Geschlecht;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;KARMEN_P2;Alter_BE;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Education;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
5;EMPLOY;Employment;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
6;IMMIGRATION;Immigration background;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;KARMEN_P2;IPAQ_MET_Total;operation;(IPAQ_MET_Total*60)/7;MET-min/week;compatible;proximate
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
9;SMOKE_ST;Smoking status;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
14;MENOPAUSE;Menopause status;integer;KARMEN_P2;Menopause;recode;"recode(0=1;1=2;)";;complete;compatible
15;HRT;Hormone replacement therapy;integer;KARMEN_P2;__BLANK__;paste;0;no HRT for all included women due to inclusion criteria, new variable could be created coded such as HRT=0;complete;compatible
16;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer;KARMEN_P2;__BLANK__;paste;0;all included women did not take contraceptives due to inclusion criteria, new variable could be created coding all participants =0;complete;compatible
17;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
18;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal;KARMEN_P2;impossible;impossible;impossible;;impossible;unavailable
19;TG;Triglycerides measured from blood samples [mmol/L];decimal;KARMEN_P2;KL_TG;operation;KL_TG * 88.57;;complete;compatible
20;CHOL;Total cholesterol measured from blood samples [mmol/L];decimal;KARMEN_P2;KL_CHO;operation;KL_CHO * 38.67;;complete;compatible
21;LDL;LDL cholesterol measured from blood samples [mmol/L];decimal;KARMEN_P2;KL_LDLC;operation;KL_LDLC * 38.67;;complete;compatible
22;HDL;HDL cholesterol measured from blood samples [mmol/L];decimal;KARMEN_P2;KL_HDLC;operation;KL_HDLC * 38.67;;complete;compatible
23;PREV_DIAB;History of diabetes;integer;KARMEN_P2;__BLANK__;paste;0;"due to inclusion criteria, all participants were healthy at time of reruitment without a history of diabetes; new variable could be created coded =0 for all participants";complete;compatible
24;PREV_HYP;History of hypertension;integer;KARMEN_P2;__BLANK__;paste;0;"due to inclusion criteria, all participants were healthy at time of reruitment without a history of diabetes; new variable could be created coded =0 for all participants";complete;compatible
25;PREV_CVD;History of cardiovascular disease;integer;KARMEN_P2;__BLANK__;paste;0;"due to inclusion criteria, all participants were healthy at time of reruitment without a history of diabetes; new variable could be created coded =0 for all participants";complete;compatible
26;PREV_CANCER;History of cancer;integer;KARMEN_P2;__BLANK__;paste;0;"due to inclusion criteria, all participants were healthy at time of reruitment without a history of cancer; new variable could be created coded =0 for all participants";complete;compatible
27;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
28;FAM1_DIAB2;First degree family history of T2D;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
29;FAM1_CANCER;First degree family history of cancer;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
30;DRE_SCREEN;Screening, DRE;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
31;PSA_SCREEN;Screening, PSA;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
32;FOBT_SCREEN;Screening, FOBT;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
33;COL_SCREEN;Screening, colonoscopy;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
34;MELANOMA_SCREEN;Screening, skin cancer;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
35;MAMMO_SCREEN;Screening, mammography;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
36;CERVICAL_SCREEN;Screening cervical, smear test;integer;KARMEN_P2;impossible;impossible;impossible;unavailable;impossible;unavailable
37;MED_STAT;Regular use of statins;integer;KARMEN_P2;__BLANK__;paste;0;"due to inclusion criteria, all participants were healthy at time of reruitment without a history of diabetes; new variable could be created coded =0 for all participants";complete;compatible
38;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer;KARMEN_P2;__BLANK__;paste;0;"due to inclusion criteria, all participants were healthy at time of reruitment without a history of diabetes; new variable could be created coded =0 for all participants";complete;compatible
39;INC_CVD;CVD event during follow-up;integer;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
40;AGE_CVD;Age at diagnosis of CVD [years];decimal;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
41;INC_ANGINA;Angina pectoris event during follow-up;integer;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
42;AGE_ANGINA;Age at diagnosis of angina pectoris [years];decimal;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
43;INC_MI;Myocardial infarction during follow-up;integer;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
44;AGE_MI;Age at diagnosis of myocardial infarction [years];decimal;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
45;INC_STR;Stroke during follow-up;integer;KARMEN_P2;impossible;impossible;impossible;impossible;impossible;unavailable
