index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;KORA_S1_P1;a_id;id_creation;id_creation;;complete;identical
2;SEX;Sex;integer;KORA_S1_P1;acsex;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure;decimal;KORA_S1_P1;atalteru;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Education;integer;KORA_S1_P1;atbbild;direct_mapping;direct_mapping;;complete;identical
5;TOT_PA_QX;Physical activity from questionnaire data;decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
6;SMOKE_ST;Smoking status;integer;KORA_S1_P1;atcigsmk;direct_mapping;direct_mapping;;complete;identical
7;BMI;Body Mass Index at baseline;decimal;KORA_S1_P1;atbmi;direct_mapping;direct_mapping;;complete;identical
8;ENERGY;Energy intake [kcal/d];decimal;KORA_S1_P1;akcal;direct_mapping;direct_mapping;;complete;identical
9;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;KORA_S1_P1;"AV410;
AV420";operation;AV410 + AV420;"AV410 (potato) + AV420 (potato products)
in this case, this combined group only consists of potatoes and no other tubers";partial;tentative
10;POTATOES_0101;Potato intake [g/d];decimal;KORA_S1_P1;"AV410;
AV420";operation;AV410 + AV420;AV410 (potato) + AV420 (potato products);complete;compatible
11;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
12;VEGETABLES_02;Vegetable intake [g/d];decimal;KORA_S1_P1;"AV431; AV433; AV440;
AV451; AV455; AV459; AV461; AV465;
AV469; AV470; AV480; 
AV499";operation;AV431 + AV433 + AV440 + AV451 + AV455 + AV459 + AV461 + AV465 + AV469 + AV470 + AV480  + AV499;"AV431 (cauliflower) + AV433 (other cabbage) + AV440 (leafy and stem vegetables) +
AV451 (tomatoes) + AV455 (cucumbers) + AV459 (other fruit vegetables) + AV461 (onion vegetables) +  AV465 (carrots) +
AV469 (other fresh vegetables) + AV470 (frozen vegetables) + AV480 (canned vegetables) + 
AV499 (other vegetable products)";complete;compatible
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;KORA_S1_P1;AV440;operation;0.5*AV440;AV440 (leafy and stem vegetables) Gewichtung mit 0,5 sinnvoll?;partial;tentative
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;KORA_S1_P1;"AV451;
AV455;
AV459";operation;AV451 + AV455 + AV459;AV451 (Tomatoes) + AV455 (cucumbers) + AV459 (other fruit vegetables) ;complete;compatible
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;KORA_S1_P1;AV465;direct_mapping;direct_mapping;AV465 (carrots);complete;identical
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;KORA_S1_P1;"AV431; AV433";operation;AV431 + AV433;AV431 (cauliflower) + AV433 (other cabbage);complete;compatible
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
18;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
19;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;KORA_S1_P1;AV461;direct_mapping;direct_mapping;AV461 (onion vegetables) ;complete;identical
