index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
1;ID;Participant identification number;integer;SHIP_P1;col_id;id_creation;id_creation;complete;complete;identical
2;SEX;Sex;integer;SHIP_P1;INT_sex;direct_mapping;direct_mapping;;complete;identical
3;AGE_BASE;Age at exposure measure [years];decimal;SHIP_P1;AGE;direct_mapping;direct_mapping;;complete;identical
4;EDU_LEVEL;Education;integer;SHIP_P1;"ausbild7;ausbild6;ausbild5;Schule1;ausbild8;ausbild;ausbild4";case_when;case_when(                                                                               ausbild7 %in% c(1) ~ 7L,                                                        ausbild6 %in% c(1) ~ 6L,                                       ausbild5 %in% c(1) | ausbild4 %in% c(1) ~ 4L,                            Schule1 %in% c(7,8) ~ 3L,                                              Schule1 %in% c(3,4,5,6) ~ 2L,                               Schule1 %in% c(2) ~ 0L,                                                  ausbild8 %in% c(1) | ausbild %in% c(1) | Schule1 %in% c(1,9) ~ 9L,                                                                       TRUE ~ NA_integer_);;partial;proximate
5;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal;SHIP_P1;"sportwi1;sportwi3;sportso1;sportso3";undetermined;undetermined;;undetermined;undetermined
6;SMOKE_ST;Smoking status;integer;SHIP_P1;smoking_s0;recode;"recode(0=1; 1=2; 2=3;)";;complete;compatible
7;BMI;Body Mass Index at baseline [kg/m²];decimal;SHIP_P1;bmi_s0;direct_mapping;direct_mapping;;complete;identical
8;ENERGY;Energy intake [kcal/d];decimal;SHIP_P1;;impossible;impossible;;impossible;unavailable
9;POTATOES_TUB_01;Intake of starchy roots or tubers [g/d];decimal;SHIP_P1;"food_6;food_7";operation;food_6 +  food_7;only frequency;partial;tentative
10;POTATOES_0101;Potato intake [g/d];decimal;SHIP_P1;"food_6;food_7";operation;food_6 +  food_7;only frequency;partial;tentative
11;OTHERTUB_0102;Other roots and tuber intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
12;VEGETABLES_02;Vegetable intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
13;LEAFYVEG_0201;Leafy vegetable intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
14;FRUITINGVEG_0202;Fruiting vegetable intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
15;ROOTVEG_0203;Root and tuber vegetable intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
16;CABBAGE_0204;Head cabbages and similar intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
17;MUSHROOMS_0205;Mushroom intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
18;GRAINPODVEG_0206;Intake of legumes with pod [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
19;ONION_GARLIC_0207;Bulb vegetables (onions, garlic) intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
20;STALKVEG_0208;Intake of stems/stalks eaten as vegetables [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
21;MIXEDVEG_0209;Intake of mixed vegetable salad or mixed green salad [g/d];decimal;SHIP_P1;food_10;direct_mapping;direct_mapping;only frequency;partial;tentative
