index;name;label;valueType
1;ID;Participant identification number;integer
2;SEX;Sex;integer
3;AGE_BASE;Age at exposure measure [years];decimal
4;EDU_LEVEL;Education;integer
5;EMPLOY;Employment;integer
6;IMMIGRATION;Immigration background;integer
7;TOT_PA_QX;Physical activity from questionnaire data [MET-hr/day];decimal
8;TOT_PA_AC;Physical activity from accelerometry data [MET-hr/day];decimal
9;SMOKE_ST;Smoking status;integer
10;TOBACCO_PY;Cumulative lifetime tobacco exposure  [pack years];decimal
11;TOBACCO_D;Amount of daily tobacco smoked [g/day];decimal
12;AGE_SMOKE_QUIT;Age at time of quitting smoking [years];decimal
13;MED_SUPPL;Regular use of  vitamin/multivitamin supplements;integer
14;MENOPAUSE;Menopause status;integer
15;HRT;Hormone replacement therapy;integer
16;CONTRACEPTIVE;Use of contraceptive pills or injections [years];integer
17;LIVE_BIRTHS;Number of live births given [Nr. of birth];integer
18;AGE_FIRST_BIRTH;Age at the first given birth [years];decimal
19;TG;Triglycerides measured from blood samples [mmol/L];decimal
20;CHOL;Total cholesterol measured from blood samples [mmol/L];decimal
21;LDL;LDL cholesterol measured from blood samples [mmol/L];decimal
22;HDL;HDL cholesterol measured from blood samples [mmol/L];decimal
23;PREV_DIAB;History of diabetes;integer
24;PREV_HYP;History of hypertension;integer
25;PREV_CVD;History of cardiovascular disease;integer
26;PREV_CANCER;History of cancer;integer
27;FAM1_CHD_STROKE;First degree family history of premature CHD and stroke;integer
28;FAM1_DIAB2;First degree family history of T2D;integer
29;FAM1_CANCER;First degree family history of cancer;integer
30;DRE_SCREEN;Screening, DRE;integer
31;PSA_SCREEN;Screening, PSA;integer
32;FOBT_SCREEN;Screening, FOBT;integer
33;COL_SCREEN;Screening, colonoscopy;integer
34;MELANOMA_SCREEN;Screening, skin cancer;integer
35;MAMMO_SCREEN;Screening, mammography;integer
36;CERVICAL_SCREEN;Screening cervical, smear test;integer
37;MED_STAT;Regular use of statins;integer
38;MED_NSAID;Regular use of non-steroidal anti-inflammatory drugs;integer
39;INC_CVD;CVD event during follow-up;integer
40;AGE_CVD;Age at diagnosis of CVD [years];decimal
41;INC_ANGINA;Angina pectoris event during follow-up;integer
42;AGE_ANGINA;Age at diagnosis of angina pectoris [years];decimal
43;INC_MI;Myocardial infarction during follow-up;integer
44;AGE_MI;Age at diagnosis of myocardial infarction [years];decimal
45;INC_STR;Stroke during follow-up;integer
46;AGE_STR;Age at diagnosis of stroke [years];decimal
47;INC_ISC_STR;Cerebral infarction (ischaemic stroke) during follow-up;integer
48;AGE_ISC_STR;Age at diagnosis of cerebral infarction (ischaemic stroke) [years];decimal
49;INC_HAEMO_STR;Haemorrhagic stroke during follow-up;integer
50;AGE_HAEMO_STR;Age at diagnosis of haemorrhagic stroke [years];decimal
51;INC_HYP;Essential hypertension during follow-up;integer
52;AGE_HYP;Age at diagnosis of essential hypertension [years];decimal
53;INC_HF;Heart failure during follow-up;integer
54;AGE_HF;Age at diagnosis of heart failure [years];decimal
55;INC_DIAB2;Diabetes mellitus type 2 during follow-up;integer
56;AGE_DIAB2;Age at diagnosis of diabetes mellitus type 2 [years];decimal
57;INC_CANCER;Cancer during follow-up;integer
58;TYPE_CANCER;Type of Cancer (ICD 10, 3 digits,e.g. C18.3);text
59;AGE_CANCER;Age at diagnosis of cancer [years];decimal
60;VITAL_ST;Vital status at the end of mortality follow-up;integer
61;AGE_DEATH;Age at time of death [years];decimal
62;VITAL_ST_CVD;Vital status at the end of CVD mortality follow-up;integer
63;VITAL_ST_CANCER;Vital status at the end of cancer mortality follow-up;integer
64;AGE_FUP;Age at end of follow-up [years];decimal
65;BMI;Body Mass Index at baseline [kg/m²];decimal
66;BMI_FUP;Body Mass Index at follow-up [kg/m²];decimal
67;BMI_SDS;Body Mass Index Standard Deviation Score at baseline (children studies);decimal
68;BMI_SDS_FUP;Body Mass Index Standard Deviation Score at follow-up (children studies);decimal
69;WAIST_FUP;Waist circumference at follow-up [cm];decimal
70;WAIST;Waist circumference at baseline [cm];decimal
71;HIP;Hip circumference at baseline [cm];decimal
72;HIP_FUP;Hip circumference at follow-up [cm];decimal
73;FMI_FUP;Fat mass index at follow-up  [kg/m²];decimal
74;FMI;Fat mass index at baseline  [kg/m²];decimal
75;BODY_FAT_FUP;Body fat precent at follow-up [%];decimal
76;BODY_FAT;Body fat precent at baseline  [%];decimal
77;AGE_ANTH_FUP;Age at anthropometric measurement at follow-up [years];decimal
78;ENERGY;Energy intake [kcal/d];decimal
79;CARB;Carbohydrate intake [g/d];decimal
80;PROT;Protein intake [g/d];decimal
81;FAT;Fat intake [g/d];decimal
82;ALC;Alcohol intake [g/d];decimal
83;FIBER;Dietary fiber intake [g/d];decimal
84;SFA;Saturated fat intake [g/d];decimal
85;MUFA;Monounsaturated fat intake [g/d];decimal
86;PUFA;Polyunsaturated fat intake [g/d];decimal
87;TOT_SUGARS;Total sugar intake [g/d];decimal
88;ADD_SUGARS;Added sugar intake [g/d];decimal
89;FREE_SUGARS;Free sugar intake [g/d];decimal
90;GLUC;Glucose intake [g/d];decimal
91;FRUC;Fructose intake [g/d];decimal
92;GI;Daily glycaemic index;decimal
93;GL;Daily glycaemic load;decimal
94;SODIUM;Sodium intake [mg/d];decimal
95;SOD_POT_RATIO;Sodium to potassium intake ratio;decimal
96;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal
97;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal
98;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal
99;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal
100;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal
101;VEGETABLES_02;Vegetable intake [g/d];decimal
102;LEGUMES_TOT_03;Total legumes intake [g/d];decimal
103;FRUITS_TOT_04;Total fruit intake [g/d];decimal
104;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal
